a,Course_Title,Course_Credit
CSE 1010.,Introduction to Computing for Engineers.,(3 Credits)
CSE 1729.,Introduction to Principles of Programming.,(3 Credits)
CSE 2050.,Data Structures and Object-Oriented Design.,(3 Credits)
CSE 2102.,Introduction to Software Engineering.,(3 Credits)
CSE 2193.,International Study.,(1-6 Credits)
CSE 2301.,Principles and Practice of Digital Logic Design.,(4 Credits)
CSE 2500.,Introduction to Discrete Systems.,(3 Credits)
CSE 2550.,Blockchain Technology I.,(3 Credits)
CSE 2600.,Introduction to Data Science and Engineering.,(3 Credits)
CSE 3000.,Contemporary Issues in Computer Science and Engineering.,(1 Credit)
CSE 3100.,Systems Programming.,(3 Credits)
CSE 3140.,Cybersecurity Lab.,(2 Credits)
CSE 3150.,C++ Essentials.,(3 Credits)
CSE 3160.,Functional Programming Fundamentals.,(3 Credits)
CSE 3193.,International Study.,(1-6 Credits)
CSE 3200.,Mobile Application Development.,(3 Credits)
CSE 3250.,Introduction to Cloud Computing.,(3 Credits)
CSE 3300.,Computer Networks and Data Communication.,(3 Credits)
CSE 3302.,Digital Systems Design.,(3 Credits)
CSE 3350.,Digital Design Laboratory.,(3 Credits)
CSE 3400.,Introduction to Computer and Network Security.,(3 Credits)
CSE 3500.,Algorithms and Complexity.,(3 Credits)
CSE 3502.,Theory of Computation.,(3 Credits)
CSE 3504.,Probabilistic Performance Analysis of Computer Systems.,(3 Credits)
CSE 3550.,Blockchain Technology.,(3 Credits)
CSE 3666.,Introduction to Computer Architecture.,(3 Credits)
CSE 3800.,Bioinformatics.,(3 Credits)
CSE 3802.,Numerical Methods in Scientific Computation.,(3 Credits)
CSE 3810.,Computational Genomics.,(3 Credits)
CSE 4095.,Special Topics in Computer Science and Engineering.,(1-6 Credits)
CSE 4099.,Independent Study in Computer Science and Engineering.,(1-4 Credits)
CSE 4100.,Programming Language Translation.,(3 Credits)
CSE 4102.,Programming Languages.,(3 Credits)
CSE 4300.,Operating Systems.,(3 Credits)
CSE 4302.,Computer Organization and Architecture.,(3 Credits)
CSE 4400.,Computer Security.,(3 Credits)
CSE 4402.,Network Security.,(3 Credits)
CSE 4412.,"Introduction to Quantum Computing, Cryptography, and Networking.",(3 Credits)
CSE 4502.,Big Data Analytics.,(3 Credits)
CSE 4701.,Principles of Databases.,(3 Credits)
CSE 4702.,Introduction to Modern Cryptography.,(3 Credits)
CSE 4704.,Computational Geometry.,(3 Credits)
CSE 4705.,Artificial Intelligence.,(3 Credits)
CSE 4709.,Networked Embedded Systems.,(3 Credits)
CSE 4820.,Introduction to Machine Learning.,(3 Credits)
CSE 4830.,Computer Vision and Machine Learning for Image Analysis.,(3 Credits)
CSE 4900.,Independent Design Laboratory.,(3 Credits)
CSE 4939W.,Computer Science and Engineering Design Project I.,(3 Credits)
CSE 4940.,Computer Science and Engineering Design Project II.,(3 Credits)
CSE 4950.,Electrical and Computer Engineering Design I.,(2 Credits)
CSE 4951.,Electrical and Computer Engineering Design II.,(3 Credits)
CSE 4997.,Senior Thesis in Computer Science and Engineering.,(3 Credits)
CEWP 4297.,Coop Education Work Placement.,(0 Credits)
CRLP 1101.,Elementary Level I.,(3 Credits)
CRLP 1193.,Foreign Study.,(1-6 Credits)
CRLP 3293.,Foreign Study.,(1-6 Credits)
CRLP 3295.,Special Topics.,(1-6 Credits)
CRLP 3298.,Variable Topics.,(3 Credits)
CRLP 3299.,Independent Study.,(1-3 Credits)
DGS 3100.,Cytogenetic Technologies.,(3 Credits)
DGS 3226.,Current Genetic Research.,(2-3 Credits)
DGS 3999.,Independent Study for Undergraduates.,(1-6 Credits)
DGS 4095.,Special Topics.,(1-6 Credits)
DGS 4234.,Diagnostic Molecular Technologies.,(3 Credits)
DGS 4234W.,Diagnostic Molecular Technologies.,(3 Credits)
DGS 4235.,Laboratory in Molecular Diagnostics.,(2 Credits)
DGS 4236.,Case Studies in Molecular Pathology.,(1 Credit)
DGS 4237.,Introductory Bioinformatics for Genomics Analysis.,(3 Credits)
DGS 4246.,Contemporary Issues in Human Genetics.,(3 Credits)
DGS 4402.,"Specimen Preparation, Nucleic Acid Isolation and Assessment.",(4 Credits)
DGS 4503.,Amplification Methods.,(6 Credits)
DGS 4510.,In Situ Hybridization Methods.,(2 Credits)
DGS 4512.,Cloning Techniques.,(2 Credits)
DGS 4513.,Blotting Applications.,(2 Credits)
DGS 4515.,Microbiological Applications of Molecular Diagnostics.,(2 Credits)
DGS 4604.,Sequencing Techniques and Data Analysis.,(3 Credits)
DGS 4850.,Investigative Topics in Laboratory Genetics.,(1 Credit)
DGS 4997.,Honors Research.,(3 Credits)
DIET 3099.,Independent Study for Undergraduates.,(1-6 Credits)
DIET 3150.,Medical Nutrition Therapy I.,(3 Credits)
DIET 3155.,Clinical Dietetics Practicum I.,(1 Credit)
DIET 3215.,Food Service Management Practicum I.,(1 Credit)
DIET 3230.,Community Nutrition.,(3 Credits)
DIET 3231W.,Writing for Community Nutrition Research.,(2 Credits)
DIET 3235.,Community Nutrition Practicum I.,(1 Credit)
DIET 3250.,Medical Nutrition Therapy II.,(3 Credits)
DIET 3255.,Clinical Dietetics Practicum II.,(1 Credit)
DIET 3272.,Food Service Systems Management I.,(2 Credits)
DIET 3296.,Applied Research for Dietetic Professionals.,(1-3 Credits)
DIET 4095.,Special Topics.,(1-6 Credits)
DIET 4272.,Food Service Systems Management II.,(2 Credits)
DIET 4296.,Applied Honors Research for Dietetic Professionals.,(1-3 Credits)
DIET 4315.,Food Service in Health Care.,(1 Credit)
DIET 4335.,Clinical Nutrition in Acute Care.,(1 Credit)
DIET 4350.,Applied Medical Nutrition Therapy III.,(3 Credits)
DIET 4360.,Contemporary Nutrition Practice.,(3 Credits)
DIET 4365.,Applied Dietetics Practicum.,(4 Credits)
DIET 4370.,Advanced Nutrition for the Dietetics Practitioner.,(3 Credits)
DIET 4415.,Food Service Management Practicum II.,(3 Credits)
DIET 4435.,Community Nutrition Practicum II.,(3 Credits)
DIET 4455.,Clinical Dietetics Practicum III.,(4 Credits)
DIET 4470.,Seminar in Dietetics.,(2 Credits)
DIET 4591.,Dietetics Internship Practicum I.,(0 Credits)
DIET 4691.,Dietetics Internship Practicum II.,(0 Credits)
DIET 4991.,Dietetics Externship.,(1-6 Credits)
DMD 1000.,Digital Foundation.,(3 Credits)
DMD 1001.,Foundations in Digital Media and Design I.,(3 Credits)
DMD 1002.,Foundations in Digital Media and Design II.,(3 Credits)
DMD 1060.,"Fundamentals of Programming for Game, Web, and Interactive Media Design.",(3 Credits)
DMD 1070.,Web Design I.,(3 Credits)
DMD 1101.,Design Lab I.,(3 Credits)
DMD 1102.,Design Lab II.,(3 Credits)
DMD 2010.,History of Digital Culture.,(3 Credits)
DMD 2020.,Design Thinking.,(3 Credits)
DMD 2095.,Special Topics in Digital Media.,(1-6 Credits)
DMD 2200.,Motion Design and Animation I.,(3 Credits)
DMD 2210.,Film and Video Editing I.,(3 Credits)
DMD 2230.,3D Motion I.,(3 Credits)
DMD 2300.,3D Animation I.,(3 Credits)
DMD 2310.,3D Modeling I.,(3 Credits)
DMD 2320.,3D Lighting and Rendering I.,(3 Credits)
DMD 2470.,User Interface Design.,(3 Credits)
DMD 2500.,Introduction to Digital Game Design.,(3 Credits)
DMD 2542.,Introduction to Game Scripting.,(3 Credits)
DMD 2550.,Game Production.,(3 Credits)
DMD 2580.,2D Game Art.,(3 Credits)
DMD 2610.,Introduction to Digital Humanities.,(3 Credits)
DMD 2620.,"Human Development, Digital Media, and Technology.",(3 Credits)
DMD 2700.,Digital Media Strategies for Business.,(3 Credits)
DMD 2710.,Social Media Business Applications.,(3 Credits)
DMD 2810.,Digital Cinematography I.,(3 Credits)
DMD 3010W.,Critical Perspectives on Digital Media.,(3 Credits)
DMD 3020.,Design Lab.,(3 Credits)
DMD 3030.,Narrative Workshop.,(3 Credits)
DMD 3035.,Interaction Design.,(3 Credits)
DMD 3095.,Special Topics in Digital Media.,(1-6 Credits)
DMD 3099.,Independent Study.,(1-6 Credits)
DMD 3102.,Brand Lab.,(3 Credits)
DMD 3200.,Motion Design and Animation II.,(3 Credits)
DMD 3205.,History of Animation.,(3 Credits)
DMD 3210.,Experimental and Alternative Techniques.,(3 Credits)
DMD 3215.,Character Animation.,(3 Credits)
DMD 3220.,Broadcast Graphics and Title Sequence.,(3 Credits)
DMD 3230.,Cinematic Storytelling.,(3 Credits)
DMD 3235.,Scientific Visualization.,(3 Credits)
DMD 3240.,Animating Science.,(3 Credits)
DMD 3250.,Visual Effects.,(3 Credits)
DMD 3300.,3D Animation II.,(3 Credits)
DMD 3305.,History of Computer Graphics.,(3 Credits)
DMD 3310.,"3D Modeling, Lighting and Rendering II.",(3 Credits)
DMD 3320.,Storyboarding and Visual Development.,(3 Credits)
DMD 3350.,3D Simulations.,(3 Credits)
DMD 3420.,Wearable Electronics and Interactive Objects.,(3 Credits)
DMD 3440.,Introduction to Mobile Application Development.,(3 Credits)
DMD 3470.,Advanced Web Design and Development.,(3 Credits)
DMD 3475.,Coding for Web and Interactive Media Design.,(3 Credits)
DMD 3500.,Interactive Storytelling.,(3 Credits)
DMD 3520.,3D Virtual World and Simulations.,(3 Credits)
DMD 3530.,Game Systems Design.,(3 Credits)
DMD 3540.,Multiplayer Game Development.,(3 Credits)
DMD 3570.,History and Theory of Digital Art.,(3 Credits)
DMD 3581.,3D Game Art I - Modeling and Texturing.,(3 Credits)
DMD 3582.,3D Game Art II - Motion and Technical Art.,(3 Credits)
DMD 3589.,Historical Fiction in Games and Film.,(3 Credits)
DMD 3610.,Collaborating with Cultural Organizations I: Methods.,(3 Credits)
DMD 3620.,Collaborating with Cultural Organizations II: Practice.,(3 Credits)
DMD 3640.,Human Rights Archives I: Documenting and Curating Community Memory.,(3 Credits)
DMD 3641.,Human Rights Archives II: Visual Storytelling Practices.,(3 Credits)
DMD 3710.,Creative Content Strategy.,(3 Credits)
DMD 3720.,Digital Media Analytics.,(3 Credits)
DMD 3730.,Digital Consumer Behavior.,(3 Credits)
DMD 3740.,Digital Sports and Entertainment Studio.,(3 Credits)
DMD 3750.,Digital Media and Technology Ethics.,(3 Credits)
DMD 3820.,Documentary Film Production.,(3 Credits)
DMD 3828.,Social Documentary in Theory and Practice.,(3 Credits)
DMD 3830.,Film Writing.,(3 Credits)
DMD 3840.,Creative Producing for Independent Film.,(3 Credits)
DMD 3850.,Digital Sound Design.,(3 Credits)
DMD 3993.,Foreign Study.,(1-12 Credits)
DMD 3998.,Variable Topics.,(1-6 Credits)
DMD 4015.,Degree Exhibition.,(1 Credit)
DMD 4025.,Portfolio and Professional Development: Putting it All Together.,(3 Credits)
DMD 4040.,Agency.,(3 Credits)
DMD 4045.,"Digital Content Design, Creation and Distribution Studio.",(3 Credits)
DMD 4075.,Senior Project.,(3 Credits)
DMD 4081.,Digital Media Internship/Co-op.,(1-12 Credits)
DMD 4086.,Senior Thesis.,(3 Credits)
DMD 4200.,Advanced Motion Media.,(3 Credits)
DMD 4310.,3D Rigging.,(3 Credits)
DMD 4340.,Advanced Compositing for Visual Effects.,(3 Credits)
DMD 4350.,Advanced 3D Research and Production.,(3 Credits)
DMD 4470.,Web 3: Expert Topics in Web Development.,(3 Credits)
DMD 4475.,Web and Interactive Media Design Practicum.,(3 Credits)
DMD 4500.,Advanced Digital Game Design and Development.,(3 Credits)
DMD 4536.,Disruptive Technologies.,(3 Credits)
DMD 4545.,Advanced Game Scripting.,(3 Credits)
DMD 4640.,Digital Public History Project.,(3 Credits)
DMD 4725.,Advanced Digital Analytics.,(3 Credits)
DMD 4810.,Advanced Digital Cinematography.,(3 Credits)
DMD 4835.,Narrative Short Film Production.,(3 Credits)
DMD 4860.,Color Grading for Film and Video.,(3 Credits)
DRAM 1101.,Introduction to the Theatre.,(3 Credits)
DRAM 1110.,Introduction to Film.,(3 Credits)
DRAM 1201.,Drafting for the Theatre.,(3 Credits)
DRAM 1202.,Computer Drafting for the Theatre.,(3 Credits)
DRAM 1207.,Design Fundamentals.,(3 Credits)
DRAM 1209.,Drawing and Painting Techniques for the Theatre.,(3 Credits)
DRAM 1210.,Computer Rendering for the Theatre.,(3 Credits)
DRAM 1215.,Theatre Production: Makeup And Wardrobe For The Actor.,(3 Credits)
DRAM 1216.,Theatre Production: Lighting And Sound.,(3 Credits)
DRAM 1217.,Theatre Production: Costumes And Makeup.,(3 Credits)
DRAM 1218.,Theatre Production: Stagecraft.,(3 Credits)
DRAM 1282.,Practicum in Dramatic Arts.,(1-6 Credits)
DRAM 1501.,Introduction to World Puppetry.,(3 Credits)
DRAM 1701.,Acting I.,(2 Credits)
DRAM 1702.,Acting II.,(3 Credits)
DRAM 1710.,Exploration of Acting.,(3 Credits)
DRAM 1801.,Stage Movement I.,(2 Credits)
DRAM 1802.,Stage Movement II.,(3 Credits)
DRAM 1811.,Dance Appreciation.,(3 Credits)
DRAM 1901.,Voice and Speech I.,(2 Credits)
DRAM 1902.,Voice and Speech II.,(3 Credits)
DRAM 2120.,Entrepreneurship in the Arts.,(3 Credits)
DRAM 2130.,Histories of Drama and Performance I.,(3 Credits)
DRAM 2131.,Histories of Drama and Performance II.,(3 Credits)
DRAM 2134.,Honors Core: Sports as Performance.,(3 Credits)
DRAM 2135.,History of Popular Theatre and Live Entertainment.,(3 Credits)
DRAM 2136.,Asian Theatre and Performance.,(3 Credits)
DRAM 2136W.,Asian Theatre and Performance.,(3 Credits)
DRAM 2141.,Script Analysis.,(3 Credits)
DRAM 2150.,Devising Theatre for Social Justice I.,(3 Credits)
DRAM 2203.,"The Holocaust in Print, Theater, and Film.",(3 Credits)
DRAM 2701.,Acting III.,(3 Credits)
DRAM 2702.,Acting IV.,(3 Credits)
DRAM 2711.,Introduction to Directing.,(3 Credits)
DRAM 2810.,Stage Movement III.,(3 Credits)
DRAM 2812.,Stage Movement IV.,(3 Credits)
DRAM 2901.,Voice and Speech III.,(3 Credits)
DRAM 2902.,Vocal Performance Techniques.,(3 Credits)
DRAM 3103.,Stage Management for the Theatre.,(3 Credits)
DRAM 3121.,"Advertising, Publicity, and Promotion in the Dramatic Arts.",(3 Credits)
DRAM 3130.,Women in Theatre: Gender Identity and Expression on the Stage.,(3 Credits)
DRAM 3131.,African-American Theatre.,(3 Credits)
DRAM 3132.,"African-American Women Playwrights, 1900 to the present.",(3 Credits)
DRAM 3133.,Latina/o Theatre.,(3 Credits)
DRAM 3138.,Trends in Contemporary Theatre.,(3 Credits)
DRAM 3139.,Theatre and Human Rights.,(3 Credits)
DRAM 3141.,Playwriting.,(3 Credits)
DRAM 3141W.,Playwriting.,(3 Credits)
DRAM 3142.,Dramaturgy I.,(3 Credits)
DRAM 3145.,Film Writing.,(3 Credits)
DRAM 3182.,Practicum in Dramatic Arts.,(1-6 Credits)
DRAM 3194.,Dramaturgy Seminar.,(1-3 Credits)
DRAM 3199.,Independent Study.,(1-6 Credits)
DRAM 3201.,Scene Construction.,(3 Credits)
DRAM 3202.,Rigging.,(3 Credits)
DRAM 3219.,Sound Technology and Production Audio.,(3 Credits)
DRAM 3220.,Sound for the Theatre.,(3 Credits)
DRAM 3301.,Scene Design.,(3 Credits)
DRAM 3302.,Scene Design.,(3 Credits)
DRAM 3320.,Scenic Painting Techniques.,(3 Credits)
DRAM 3401.,Costume History.,(3 Credits)
DRAM 3402.,Costume Design.,(3 Credits)
DRAM 3420.,Wearable Electronics and Interactive Objects.,(3 Credits)
DRAM 3501.,Lighting for the Theatre.,(3 Credits)
DRAM 3502.,Lighting for the Theatre.,(3 Credits)
DRAM 3601.,Mask Theatre.,(3 Credits)
DRAM 3602.,Paper Sculpture.,(3 Credits)
DRAM 3603.,Rod Puppetry.,(3 Credits)
DRAM 3604.,Puppetry in Television.,(3 Credits)
DRAM 3605.,Shadow Theatre.,(3 Credits)
DRAM 3607.,Materials Techniques.,(3 Credits)
DRAM 3608.,Hand Puppetry.,(3 Credits)
DRAM 3609.,UV/Czech Black Theatre.,(3 Credits)
DRAM 3610.,Movement-Based Performance for the Puppet Theatre I.,(3 Credits)
DRAM 3611.,Trends in the Contemporary Puppet Theatre.,(3 Credits)
DRAM 3612.,Plays for Puppet Theatre.,(3 Credits)
DRAM 3615.,Object Theatre.,(3 Credits)
DRAM 3721.,Performance Techniques.,(1-6 Credits)
DRAM 3995.,Special Topics in Dramatic Arts.,(3 Credits)
DRAM 3998.,Variable Topics in Dramatic Arts.,(3 Credits)
DRAM 4122.,Theatre Management.,(3 Credits)
DRAM 4135.,Advanced Topics in Theatre and Performance.,(3 Credits)
DRAM 4135W.,Advanced Topics in Theatre and Performance.,(3 Credits)
DRAM 4151.,The American Film.,(3 Credits)
DRAM 4193.,Foreign Study.,(1-6 Credits)
DRAM 4194.,Seminar.,(1-6 Credits)
DRAM 4701.,Acting V.,(3 Credits)
DRAM 4702.,Acting VI.,(3 Credits)
DRAM 4703.,Acting VII.,(3 Credits)
DRAM 4704.,Acting VIII.,(3 Credits)
DRAM 4705.,Acting for the Camera.,(1-6 Credits)
DRAM 4711W.,The Director in the Theatre.,(3 Credits)
DRAM 4811.,Stage Movement V.,(3 Credits)
DRAM 4812.,Stage Movement VI.,(3 Credits)
DRAM 4901.,Senior Project.,(1-3 Credits)
DRAM 4911.,Voice and Speech IV.,(3 Credits)
DRAM 4912.,Voice and Speech V.,(3 Credits)
DRAM 4931.,Stage Dialects.,(3 Credits)
ERTH 1000E.,The Human Epoch: Living in the Anthropocene.,(3 Credits)
ERTH 1010.,"Dinosaurs, Extinctions, and Environmental Catastrophes.",(3 Credits)
ERTH 1050.,Earth's Dynamic Environment.,(4 Credits)
ERTH 1051.,Earth's Dynamic Environment (Lecture).,(3 Credits)
ERTH 1052.,Earth's Dynamic Environment (Laboratory).,(1 Credit)
ERTH 1055.,Geoscience and the American Landscape.,(3 Credits)
ERTH 1070.,Natural Disasters and Environmental Change.,(3 Credits)
ERTH 2050W.,Communicating Earth and Environmental Science.,(3 Credits)
ERTH 2310E.,Creating and Sustaining National Parks.,(3 Credits)
ERTH 2500.,Earth System Science.,(3 Credits)
ERTH 2800E.,Our Evolving Atmosphere.,(3 Credits)
ERTH 3010.,Earth History and Global Change.,(3 Credits)
ERTH 3020.,Earth Surface Processes.,(3 Credits)
ERTH 3030.,Earth Structure.,(3 Credits)
ERTH 3040.,Earth Materials.,(3 Credits)
ERTH 3230.,Beaches and Coasts.,(3 Credits)
ERTH 3710.,Engineering and Environmental Geology.,(3 Credits)
ERTH 4050W.,Geoscience and Society.,(3 Credits)
ERTH 4110.,Sedimentology and Stratigraphy.,(3 Credits)
ERTH 4120.,Paleobiology.,(4 Credits)
ERTH 4130.,Geomicrobiology.,(3 Credits)
ERTH 4140.,Sedimentary Basin Analysis.,(3 Credits)
ERTH 4150.,Applied Data Analysis in Earth Science.,(3 Credits)
ERTH 4160.,Carbonate Platforms and Reefs.,(3 Credits)
ERTH 4210.,Glacial Processes and Materials.,(3 Credits)
ERTH 4230.,GIS and Remote Sensing for Geoscience Applications.,(3 Credits)
ERTH 4240.,Watersheds and Environmental Change.,(3 Credits)
ERTH 4330.,Active Tectonics.,(3 Credits)
ERTH 4430.,Stable Isotope Biogeochemistry.,(3 Credits)
ERTH 4440.,Dates and Rates in Earth and Environmental Science.,(3 Credits)
ERTH 4510.,Applied and Environmental Geophysics.,(3 Credits)
ERTH 4520.,Exploration Seismology.,(3 Credits)
ERTH 4550.,Physics of the Earth's Interior.,(3 Credits)
ERTH 4560.,Fundamentals of Planetary Science.,(3 Credits)
ERTH 4710.,Environmental Site Assessment.,(3 Credits)
ERTH 4720.,Environmental Geochemistry.,(3 Credits)
ERTH 4735.,Introduction to Ground Water Hydrology.,(4 Credits)
ERTH 4740.,"Energy Resources: Past, Present, and Future.",(3 Credits)
ERTH 4810.,Modeling the Changing Atmosphere and Ocean.,(3 Credits)
ERTH 4850.,Paleoclimatology.,(3 Credits)
ERTH 4989.,Undergraduate Research in Geoscience.,(3 Credits)
ERTH 4990.,Internship in Geoscience Field Study.,(1-3 Credits)
ERTH 4991.,Internship in Geoscience Research Paper.,(1 Credit)
ERTH 4995.,Special Topics.,(1-6 Credits)
ERTH 4996W.,Undergraduate Research Thesis in Geoscience.,(3 Credits)
ERTH 4998.,Variable Topics.,(3 Credits)
ERTH 4999.,Independent Study.,(1-6 Credits)
EEB 1893.,Foreign Study.,(1-6 Credits)
EEB 2100E.,Global Change Ecology.,(3 Credits)
EEB 2202.,Evolution and Human Diversity.,(3 Credits)
EEB 2208E.,Introduction to Conservation Biology.,(3 Credits)
EEB 2214.,Biology of the Vertebrates.,(3 Credits)
EEB 2222E.,Plants in a Changing World.,(3 Credits)
EEB 2244E.,General Ecology.,(4 Credits)
EEB 2244WE.,General Ecology.,(4 Credits)
EEB 2245.,Evolutionary Biology.,(3 Credits)
EEB 2245W.,Evolutionary Biology.,(4 Credits)
EEB 2250.,Introduction to Plant Physiology.,(3 Credits)
EEB 2254W.,Current Research Topics in Ecology and Evolutionary Biology.,(3 Credits)
EEB 2256W.,Current Topics in Evolutionary Medicine and Disease Ecology.,(3 Credits)
EEB 2258W.,Current Topics in Conservation and Climate Change Biology.,(3 Credits)
EEB 2893.,Foreign Study.,(1-6 Credits)
EEB 3201.,Animal Behavior.,(3 Credits)
EEB 3203.,Developmental Plant Morphology.,(4 Credits)
EEB 3205E.,Current Issues in Environmental Science.,(4 Credits)
EEB 3220.,Evolution of Green Plants.,(4 Credits)
EEB 3230.,Marine Biology.,(3 Credits)
EEB 3240.,Biology of Bryophytes and Lichens.,(4 Credits)
EEB 3244W.,Writing in Ecology.,(3 Credits)
EEB 3245.,Evolutionary Medicine.,(3 Credits)
EEB 3250.,Biology of the Algae.,(4 Credits)
EEB 3254.,Mammalogy.,(4 Credits)
EEB 3256.,Plants and Civilization.,(3 Credits)
EEB 3265.,Herpetology.,(4 Credits)
EEB 3266.,Field Herpetology.,(3 Credits)
EEB 3267.,Field Study of Animal Behavior.,(3 Credits)
EEB 3271.,Systematic Botany.,(4 Credits)
EEB 3273.,Comparative Vertebrate Anatomy.,(4 Credits)
EEB 3360.,Physiological Ecology of Plants.,(3 Credits)
EEB 3390.,South African Ecosystems and Diversity.,(4 Credits)
EEB 3490.,"Conservation, Biodiversity, Management, and Protected Area Design in South Africa.",(4 Credits)
EEB 3881.,Summer Internship Experience.,(0 Credits)
EEB 3891.,"Internship in Ecology, Conservation, or Evolutionary Biology.",(1-9 Credits)
EEB 3893.,Foreign Study.,(1-6 Credits)
EEB 3894.,Undergraduate Seminar.,(1-6 Credits)
EEB 3895.,Special Topics.,(1-6 Credits)
EEB 3898.,Variable Topics.,(3 Credits)
EEB 3899.,Independent Study.,(1-6 Credits)
EEB 4100.,Big Data Science for Biologists.,(4 Credits)
EEB 4120.,Paleobiology.,(4 Credits)
EEB 4200.,Biology of Fishes.,(4 Credits)
EEB 4215.,Physiological Ecology of Animals.,(3 Credits)
EEB 4230W.,Methods of Ecology.,(4 Credits)
EEB 4250.,General Entomology.,(4 Credits)
EEB 4260.,Ornithology.,(2 Credits)
EEB 4261.,Ornithology Laboratory.,(2 Credits)
EEB 4262.,Field Methods in Ornithology.,(3 Credits)
EEB 4272.,The Summer Flora.,(3 Credits)
EEB 4274.,Introduction to Animal Parasitology.,(4 Credits)
EEB 4275.,Invertebrate Zoology.,(4 Credits)
EEB 4276.,Plant Structural Diversity.,(4 Credits)
EEB 4490.,Tropical Biology on a Changing Planet.,(4 Credits)
EEB 4896W.,Senior Research Thesis in Ecology and Evolutionary Biology.,(3 Credits)
EEB 4990.,Directed Field Experience.,(4 Credits)
ECON 1000.,Essentials of Economics.,(3 Credits)
ECON 1101.,Economics Through Film.,(3 Credits)
ECON 1108.,Game Theory in the Natural and Social Sciences.,(3 Credits)
ECON 1200.,Principles of Economics (Intensive).,(4 Credits)
ECON 1201.,Principles of Microeconomics.,(3 Credits)
ECON 1202.,Principles of Macroeconomics.,(3 Credits)
ECON 1493.,Foreign Study.,(1-6 Credits)
ECON 1495.,Special Topics.,(1-3 Credits)
ECON 1498.,Variable Topics.,(3 Credits)
ECON 2101.,Economic History of Europe.,(3 Credits)
ECON 2101W.,Economic History of Europe.,(3 Credits)
ECON 2102.,Economic History of the United States.,(3 Credits)
ECON 2102W.,Economic History of the United States.,(3 Credits)
ECON 2103.,Deep Roots of Modern Societies.,(3 Credits)
ECON 2120.,Honors Core: Rights and Harms.,(3 Credits)
ECON 2198.,Topics in Economic History and Thought.,(3 Credits)
ECON 2201.,Intermediate Microeconomic Theory.,(3 Credits)
ECON 2202.,Intermediate Macroeconomic Theory.,(3 Credits)
ECON 2211Q.,Quantitative Intermediate Microeconomics.,(3 Credits)
ECON 2212Q.,Quantitative Intermediate Macroeconomics.,(3 Credits)
ECON 2301Q.,Mathematical Economics.,(3 Credits)
ECON 2311Q.,Econometrics I.,(3 Credits)
ECON 2312Q.,Econometrics II.,(3 Credits)
ECON 2326.,Operations Research.,(3 Credits)
ECON 2327.,Information Technology for Economics.,(3 Credits)
ECON 2411.,Money and Banking.,(3 Credits)
ECON 2413.,Economics of Financial Markets and Institutions.,(3 Credits)
ECON 2431.,Economics of Taxation and Government Spending.,(3 Credits)
ECON 2439.,Urban Development and Policy.,(3 Credits)
ECON 2440.,Economics of the Global Economy.,(3 Credits)
ECON 2441.,Labor Economics.,(3 Credits)
ECON 2441W.,Labor Economics.,(3 Credits)
ECON 2444.,Women and Minorities in the Labor Market.,(3 Credits)
ECON 2445.,Economic Foundations of Gender Inequality.,(3 Credits)
ECON 2447.,Economics of Sports.,(3 Credits)
ECON 2447W.,Economics of Sports.,(3 Credits)
ECON 2451.,Economic Behavior and Health Policy.,(3 Credits)
ECON 2456.,Economics of Poverty.,(3 Credits)
ECON 2467E.,Economics of the Oceans.,(3 Credits)
ECON 2474.,Economic Development in Latin America and the Caribbean.,(3 Credits)
ECON 2477.,Transitional Economies of Russia and Eastern Europe.,(3 Credits)
ECON 2481.,Internship Field Study.,(1-6 Credits)
ECON 2491.,Internship Research Paper.,(1 Credit)
ECON 2491W.,Internship Research Paper.,(1 Credit)
ECON 2493.,Foreign Study.,(1-6 Credits)
ECON 2495.,Special Topics.,(1-6 Credits)
ECON 2498.,Variable Topics.,(3 Credits)
ECON 2499.,Independent Study.,(1-6 Credits)
ECON 2500W.,Writing in Economics.,(1 Credit)
ECON 3103.,Global Economic History: Deep Roots of Modern Societies.,(3 Credits)
ECON 3198.,Variable Topics in Economic History.,(3 Credits)
ECON 3208.,Game Theory.,(3 Credits)
ECON 3209.,Behavioral Economics.,(3 Credits)
ECON 3210.,Game Theory for Blockchains.,(3 Credits)
ECON 3313.,Elementary Economic Forecasting.,(3 Credits)
ECON 3315.,Financial Econometrics.,(3 Credits)
ECON 3317.,Machine Learning for Economists.,(3 Credits)
ECON 3318.,Panel Data Econometrics.,(3 Credits)
ECON 3321.,Programming and Computation with R for Economists.,(3 Credits)
ECON 3322.,Open Source Programming with Python for Economists.,(3 Credits)
ECON 3413.,Financial Economics.,(3 Credits)
ECON 3416.,Special Problems in Money and Banking.,(3 Credits)
ECON 3421.,International Trade.,(3 Credits)
ECON 3422.,International Finance.,(3 Credits)
ECON 3431.,Public Economics.,(3 Credits)
ECON 3431W.,Public Economics.,(3 Credits)
ECON 3438.,Contemporary Problems in Economics.,(3 Credits)
ECON 3438W.,Contemporary Problems in Economics.,(3 Credits)
ECON 3439.,Urban and Regional Economics.,(3 Credits)
ECON 3441.,Theory of Labor Markets.,(3 Credits)
ECON 3451.,Health Economics.,(3 Credits)
ECON 3453.,Economics of Global Health.,(3 Credits)
ECON 3461.,Organization of Industry.,(3 Credits)
ECON 3466E.,Environmental Economics.,(3 Credits)
ECON 3468.,Economics of the Law.,(3 Credits)
