Course_Code,Course_Title,Course_Credit
ANSC 3553,Equine Training III - Advanced,2 Units
ANSC 3554,Equine Sports Rehabilitation Practicum,2 Units
ANSC 3641,Animal Food Products: Dairy Technology,3 Units
ANSC 3642W,Scientific Writing in Animal Food Products: Dairy Technology,1 Unit
ANSC 3663,Dairy Management Decision-making,1 Unit
ANSC 3674,Livestock and Carcass Evaluation,2 Units
ANSC 3691,Professional Internship,1-15 Units
ANSC 3790,Undergraduate Teaching Assistance in Animal Science,1 Unit
ANSC 4341,Food Microbiology and Safety,3 Units
ANSC 4342W,Scientific Writing in Food Microbiology and Safety,1 Unit
ANSC 4457,Methods of Equitation Instruction,2 Units
ANSC 4662W,Dairy Herd Management,3 Units
ANSC 4697W,Undergraduate Honors Thesis Writing in Animal Science,1 Unit
ANTH 1000,Peoples and Cultures of the World,3 Units
ANTH 1000W,Peoples and Cultures of the World,3 Units
ANTH 1001W,Anthropology Through Film,3 Units
ANTH 1006,Introduction to Anthropology,3 Units
ANTH 1010E,Global Climate Change and Human Societies,3 Units
ANTH 1500,Great Discoveries in Archaeology,3 Units
ANTH 2000,Social Anthropology,3 Units
ANTH 2000W,Social Anthropology,3 Units
ANTH 2502,Human Evolution,3 Units
ANTH 2510,Methods in Maritime Archaeology,3 Units
ANTH 2511,Anthropology of Museums,3 Units
ANTH 2600,Microscopy in Applied Archaeobotany Research,4 Units
ANTH 3021,Contemporary Latin America,3 Units
ANTH 3050W,Anthropology of Jews and Jewishness,3 Units
ANTH 3081,Internship in Anthropology,1-3 Units
ANTH 3091,Internship in Anthropology: Directed Study,1 Unit
ANTH 3096,Directed Research in Anthropology,1-3 Units
ANTH 3099,Independent Study,1-6 Units
ANTH 3155,Anthropology of the African Diaspora,3 Units
ANTH 3250,Cognitive Anthropology,3 Units
ANTH 3251,Psychological Anthropology,3 Units
ANTH 3300,Medical Anthropology,3 Units
ANTH 3342,Political and Legal Anthropology,3 Units
ANTH 3350,Anthropological Perspectives on Women,3 Units
ANTH 3401,World Religions,3 Units
ANTH 3532,Archaeology of the Age of Sail,3 Units
ANTH 3701,Lithic Technology,3 Units
ANTH 3902,North American Prehistory,3 Units
ANTH 3904,Ethnohistory of Native New England,3 Units
ANTH 4097W,Honors Thesis,3 Units
ARAB 1002,Elementary Arabic II,4 Units
ARAB 1004,Intermediate Arabic II,4 Units
ARAB 1771,Modern Arabic Culture,3 Units
ARAB 3299,Independent Study,1-3 Units
ARAB 3550W,Classical Arabic Literature,3 Units
ARAB 3771,Cinema in the Middle East and North Africa,3 Units
ARE 1110E,"Population, Food, and the Environment",3 Units
ARE 1333Q,Introduction to Data and Visualization,3 Units
ARE 2155,Imperfect Competition and Behavioral Economics,3 Units
ARE 2210,Essentials of Accounting and Business,3 Units
ARE 2215,Business Management,3 Units
ARE 2434E,Environmental and Resource Policy,3 Units
ARE 2435W,Writing in Environmental and Resource Policy,1 Unit
ARE 2464,Measuring Impact of Programs that Raise Human Well-being,3 Units
ARE 3221,Managerial Economics and Business Strategies,3 Units
ARE 3305E,"Economic Development, Environment, and Policy",3 Units
ARE 4205,Market Planning and Survey Research in the Food Industry,3 Units
ARE 4217,Business Finance and Investment Management,3 Units
ARE 4462E,Environmental and Resource Economics,3 Units
ARE 4900,Farm Credit Fellows Seminar,1 Unit
ARE 4999,Independent Study,1-6 Units
ARIS 1170,Women's Contemporary Writing in the Arab World,3 Units
ARIS 1211,Introduction to Islam,3 Units
ARIS 3710,Islamic Art History,3 Units
ART 1000,Art Appreciation,3 Units
ART 1020,Foundation: Criticism and Interpretation,3 Units
ART 1030,Drawing I,3 Units
ART 1040,Drawing II,3 Units
ART 2010,Life Drawing I,3 Units
ART 2011,Introduction to Digital Media,3 Units
ART 2110,Graphic Design: Process and Thinking,3 Units
ART 2210,Illustration,3 Units
ART 2220,Animation Fundamentals,3 Units
ART 2310,"Basic Studio, Painting",3 Units
ART 2410,"Basic Studio, Photography",3 Units
ART 2420,Intermediate Photography,3 Units
ART 2510,"Basic Studio, Printmaking",3 Units
ART 2610,"Basic Studio, Sculpture",3 Units
ART 3010,Life Drawing II,3 Units
ART 3030,Experimental Drawing,3 Units
ART 3110,Graphic Design 2: Visual Systems,3 Units
ART 3132,Graphic Design: Motion Graphics,3 Units
ART 3310,Intermediate Painting,3 Units
ART 3350,Aqua Media I,3 Units
ART 3455,Portrait Photography,3 Units
ART 3510,Intaglio Printmaking,3 Units
ART 3530,Printmaking Workshop,1-6 Units
ART 3615,Ceramics: Wheel Work,3 Units
ART 3701,Industrial Design: Materials and Techniques,3 Units
ART 3720,Industrial Design: Process and Practice,3 Units
ART 3730,Industrial Design: Digital Fabrication,3 Units
ART 3991,Studio Internship,3 Units
ART 3991,Studio Internship: Graphic Design,3 Units
ART 3991,Studio Internship: Illustration/Animation,3 Units
ART 3991,Studio Internship: Industrial Design,3 Units
ART 3991,Studio Internship: Photography,3 Units
ART 3991,Studio Internship: Sculpture/Ceramics,3 Units
ART 3998,Variable Topics: Intro to Painting,3 Units
ART 3999,Independent Study,1-6 Units
ART 4110,Graphic Design 4: Communication Dynamics,3 Units
ART 4130,Graphic Design: Design Center Studio,3 Units
ART 4901,Senior Project,3 Units
ARTH 1128,Global Perspectives on Western Art: Renaissance to the Present,3 Units
ARTH 1138,Introduction to Art History: 15th Century - Present,3 Units
ARTH 1141,From Sun Gods to Lowriders: Introduction to Latin American Art,3 Units
ARTH 2020,Global Jerusalem,3 Units
ARTH 2222,"Race, Gender, Sexuality, and the Power of Looking",3 Units
ARTH 2993,Foreign Study,1-12 Units
ARTH 3050W,African-American Art,3 Units
ARTH 3460,History of Photography: 1839 to World War I,3 Units
ARTH 3530W,Contemporary Art,3 Units
ARTH 3570,History and Theory of Digital Art,3 Units
ARTH 3710,Islamic Art History,3 Units
ARTH 3991,Field Studies Internship in Art History,1-12 Units
ARTH 3993,Foreign Study,1-6 Units
ARTH 3995,"Investigation of Special Topics: Image of Love: Images, Love and Human Rights",3 Units
ARTH 4099,Independent Study,1-6 Units
ASLN 1102,Elementary American Sign Language II,4 Units
ASLN 1103,Intermediate American Sign Language I,4 Units
ASLN 1104,Intermediate American Sign Language II,4 Units
ASLN 2500,Introduction to Interpreting: American Sign Language and English,3 Units
ASLN 2800,Consecutive Interpreting,3 Units
ASLN 3254,Women and Gender in the Deaf World,3 Units
ASLN 3290,Field Study,1-3 Units
ASLN 3292,Experiential Learning,1-3 Units
ASLN 3299,Independent Study,1-6 Units
ASLN 3306W,Advanced American Sign Language Level II,3 Units
ASLN 3650,Deaf Writers and American Sign Language Literature,3 Units
ASLN 3800,Structure of American Sign Language,3 Units
BADM 1801,Contemporary Issues in the World of Business: Intercultural Competency in the Global Marketplace,2 Units
BADM 2101,Principles of Managerial Accounting,3 Units
BADM 2234,The Entrepreneurial Journey,3 Units
BADM 2235,Personal Financial Literacy,3 Units
BADM 2237,Personal Brand Management,3 Units
BADM 2238,Legal Aspects of Personal Brand Management,3 Units
BADM 3103,Business Information Systems,3 Units
BADM 3104,Operations Management,3 Units
BADM 3201,Intermediate Accounting I,3 Units
BADM 3202,Intermediate Accounting II,3 Units
BADM 3221,Cost Accounting,3 Units
BADM 3234,"Opportunity Generation, Assessment, and Promotion",3 Units
BADM 3235,"Venture Planning, Management, and Growth",3 Units
BADM 3255,Global Issues in Marketing for Social Impact,3 Units
BADM 3258,Marketing Strategy for Environmental and Social Impact,3 Units
BADM 3260,Federal Income Taxes,3 Units
BADM 3274,Real Estate Law,3 Units
BADM 3301,Spreadsheet Modeling for Business Analysis,3 Units
BADM 3302,Data Visualization,3 Units
BADM 3401,Business Software Development,3 Units
BADM 3402,Mobile Application Development,3 Units
BADM 3452,Professional Selling,3 Units
BADM 3454,Sales Management and Leadership,3 Units
BADM 3601,Managerial Supply Chain Management,3 Units
BADM 3602,Supply Chain Logistics,3 Units
BADM 3603,Project Management and Planning,3 Units
BADM 3661,Marketing and Digital Analytics,3 Units
BADM 3665,Digital Marketing,3 Units
BADM 3701,Network Design and Applications,3 Units
BADM 3720,The Legal and Ethical Environment of Business,3 Units
BADM 3730,Financial Management,3 Units
BADM 3740,Managerial and Interpersonal Behavior,3 Units
BADM 3741,Foundations of Venture Capital,3 Units
BADM 3742,Venture Investment Sourcing and Analysis,3 Units
BADM 3750,Introduction to Marketing Management,3 Units
BADM 3757,Strategic Brand Management,3 Units
BADM 4243,Assurance Services,3 Units
BADM 4741,Advanced Venture Investing,3 Units
BADM 4895,Special Topics: Agile Innovation in STEM Entrepreneurship,2 Units
BADM 4895,Special Topics: BUILD Hartford,3 Units
BADM 4895,Special Topics: UConn Brewing Innovation: Brew,3 Units
BIOL 1102,Foundations of Biology,4 Units
BIOL 1107,Principles of Biology I,4 Units
BIOL 1108,Principles of Biology II,4 Units
BIOL 1109,Topics in Modern Biology,1 Unit
BIOL 1109,Topics in Modern Biology: The World of Natural History Collections,1 Unit
BLAW 2238,Legal Aspects of Personal Brand Management,3 Units
BLAW 3175,The Legal and Ethical Environment of Business,3 Units
BLAW 3252,Business and Human Rights,3 Units
BLAW 3254,Social Responsibility and Accountability in Business,3 Units
BLAW 3274,Real Estate Law,3 Units
BME 3120,LabVIEW Basics for Engineers,1 Unit
BME 3320,Biosensors and Nanodevices for Biomedical Applications,3 Units
BME 3401,Introduction to Computational and Systems Biology,3 Units
BME 3620,Failure Analysis for Biomedical Application,3 Units
BME 3700,Biomaterials,4 Units
BME 3740,Introduction to Microscopy and Biophotonics,3 Units
BME 3750,Tissue Engineering Laboratory,3 Units
BME 3760,Microfluidics and Lab-on-Chip,3 Units
BME 3780,Introduction to Biomanufacturing: Pharmaceutical Proteins,3 Units
BME 3900,Junior Design,3 Units
BME 4130,Neural Prostheses: Neural Prosthesis,3 Units
BME 4201,Introduction to Medical Imaging,3 Units
BME 4300,Physiological Control Systems,3 Units
BME 4410,Systems Biology of Cells and Tissues,3 Units
BME 4500,Bioinstrumentation,3 Units
BME 4730,"Biomicrofluidics, Biofabrication, and Biomanufacturing",3 Units
BME 4810,Machine Learning Methods for Biomedical Signal Analysis,3 Units
BME 4910W,Biomedical Engineering Design II,3 Units
BME 4985,Special Topics in Biomedical Engineering: Adv Multi-Dimensional Imaging,3 Units
BME 4985,Special Topics in Biomedical Engineering: Design of textile based wearable healthcare device,3 Units
BME 4999,Independent Study,1-6 Units
BUSN 1801,Contemporary Issues in the World of Business: CFA Mentorship,1 Unit
BUSN 2235,Personal Financial Literacy,3 Units
BUSN 3003W,Business Communications,3 Units
BUSN 3004W,Business Writing and Communication,2 Units
BUSN 3005,Career Development in Business,1 Unit
BUSN 4897W,Honors Leadership Seminar,3 Units
CAMS 1102,Roman Civilization,3 Units
CAMS 1103,Classical Mythology,3 Units
CAMS 1124,Intermediate Latin II,3 Units
CAMS 3102,Topics in Advanced Latin,3 Units
CAMS 3102,Topics in Advanced Latin: Cicero’s Pro Caelio,3 Units
CAMS 3102,Topics in Advanced Latin: Roman Lyric,3 Units
CAMS 3208,Homer,3 Units
CAMS 3213,Ovid and Mythology,3 Units
CAMS 3242W,Greek and Roman Drama,3 Units
CAMS 3257,Ancient Greek Philosophy,3 Units
CAMS 3299,Independent Study,1-6 Units
CAMS 3321,Hellenistic World: Alexander to Cleopatra,3 Units
CAMS 3326,Ancient Rome: Emperors and Barbarians,3 Units
CAMS 3330,Palestine Under the Greeks and Romans,3 Units
CAMS 4096W,Senior Thesis in Classics and Ancient Mediterranean Studies,3 Units
CE 2110,Applied Mechanics I,3 Units
CE 2211,Engineering Economics I,1 Unit
CE 2251,Probability and Statistics in Civil and Environmental Engineering,3 Units
CE 2500,Introduction to Geographic Information Systems,4 Units
CE 2710,Transportation Engineering and Planning,3 Units
CE 3110,Mechanics of Materials,3 Units
CE 3251,Civil and Environmental Engineering Applications of Probability and Statistics,1 Unit
CE 3520,Civil Engineering Materials Laboratory,3 Units
CE 3630,Design of Steel Structures,4 Units
CE 3997,Directed Research in Civil Engineering,1-3 Units
CE 4220,Principles of Construction II,3 Units
CE 4410,Computer Aided Site Design,3 Units
CE 4720,Street and Highway Design,3 Units
CE 4920W,Civil Engineering Projects II,2 Units
CE 4997,Independent Research in Civil Engineering,1-3 Units
CE 4999,Independent Study in Civil Engineering,1-4 Units
CEWP 4297,Coop Education Work Placement,0 Units
CHEG 2111,Chemical Engineering Thermodynamics I,3 Units
CHEG 2201,Chemical Engineering Professional Skills I,1 Unit
CHEG 3124,Heat and Mass Transfer,3 Units
CHEG 3128,Chemical Engineering Junior Laboratory,2 Units
CHEG 3151,Process Kinetics,3 Units
CHEG 3156,Polymeric Materials,3 Units
CHEG 3173,Introduction to Biochemical Engineering,3 Units
CHEG 4139,Chemical Engineering Senior Laboratory,2 Units
CHEG 4143W,Chemical Engineering Capstone Design II,3 Units
CHEG 4147,Process Dynamics and Control,3 Units
CHEG 4235,Air Pollution and Communities,3 Units
CHEG 4989,Introduction to Research,1-6 Units
CHEG 4995,Special Topics in Chemical Engineering: Advanced CHEG Seminar,1 Unit
CHEG 4995,Special Topics in Chemical Engineering: Intro to Brewery Engineering,3 Units
CHEG 4995,Special Topics in Chemical Engineering: Surface Chemistry & Catalysis,3 Units
CHEM 1122,Chemical Principles and Applications,4 Units
CHEM 1124Q,Fundamentals of General Chemistry I,4 Units
CHEM 1125Q,Fundamentals of General Chemistry II,3 Units
CHEM 1126Q,Fundamentals of General Chemistry III,3 Units
CHEM 1127Q,General Chemistry I,4 Units
CHEM 1128Q,General Chemistry II,4 Units
CHEM 1148Q,Honors General Chemistry II,4 Units
CHEM 1194,The Science of Chemistry,1 Unit
CHEM 2241,Organic Chemistry,3 Units
CHEM 2242,Organic Chemistry Laboratory,1 Unit
CHEM 2443,Organic Chemistry,3 Units
CHEM 2444,Organic Chemistry,3 Units
CHEM 2445,Organic Chemistry Laboratory,3 Units
CHEM 2446,Organic Chemistry Laboratory,1 Unit
CHEM 3189,Undergraduate Research,1-3 Units
CHEM 3195,Special Topics: Environmental Aquatic Chemistry,3 Units
CHEM 3195,Special Topics: Risk Assessment and Chemical Safety for Laboratory,1 Unit
CHEM 3199,Independent Study,1-3 Units
CHEM 3214,Intermediate Inorganic Chemistry,3 Units
CHEM 3215,Inorganic Chemistry Laboratory,3 Units
CHEM 3332,Quantitative Analytical Chemistry,4 Units
CHEM 3334,Instrumental Analysis I,4 Units
CHEM 3564,Physical Chemistry II,3 Units
CHEM 3565W,Physical Chemistry Laboratory,2 Units
CHEM 3661,Polymeric Materials,3 Units
CHEM 4196W,Thesis for Undergraduate Chemistry Majors,3 Units
CHIN 1111,Elementary Chinese I,4 Units
CHIN 1112,Elementary Chinese II,4 Units
CHIN 1113,Intermediate Chinese I,4 Units
CHIN 1114,Intermediate Chinese II,4 Units
