Course_Code,Course_Title,Course_Credit
DMD 3310,"3D Modeling, Lighting and Rendering II",3 Units
DMD 3470,Advanced Web Design and Development,3 Units
DMD 3475,Coding for Web and Interactive Media Design,3 Units
DMD 3500,Interactive Storytelling,3 Units
DMD 3570,History and Theory of Digital Art,3 Units
DMD 3582,3D Game Art II - Motion and Technical Art,3 Units
DMD 3641,Human Rights Archives II: Visual Storytelling Practices,3 Units
DMD 3730,Digital Consumer Behavior,3 Units
DMD 3750,Digital Media and Technology Ethics,3 Units
DMD 3820,Documentary Film Production,3 Units
DMD 3840,Creative Producing for Independent Film,3 Units
DMD 3850,Digital Sound Design,3 Units
DMD 3998,Variable Topics: AI in Marketing Communication,3 Units
DMD 3998,Variable Topics: Advanced Documentary Film Production,3 Units
DMD 3998,Variable Topics: Diverse Perspectives in Digital Media,3 Units
DMD 3998,Variable Topics: Film Theory - Auteur Study,3 Units
DMD 4025,Portfolio and Professional Development: Putting it All Together,3 Units
DMD 4040,Agency,3 Units
DMD 4045,"Digital Content Design, Creation and Distribution Studio",3 Units
DMD 4075,Senior Project,3 Units
DMD 4081,Digital Media Internship/Co-op,3-12 Units
DMD 4086,Senior Thesis,3 Units
DMD 4310,3D Rigging,3 Units
DMD 4350,Advanced 3D Research and Production,3 Units
DMD 4500,Advanced Digital Game Design and Development,3 Units
DMD 4536,Disruptive Technologies,3 Units
DMD 4725,Advanced Digital Analytics,3 Units
DMD 4835,Narrative Short Film Production,3 Units
DMD 4860,Color Grading for Film and Video,3 Units
DRAM 1101,Introduction to the Theatre,3 Units
DRAM 1110,Introduction to Film,3 Units
DRAM 1202,Computer Drafting for the Theatre,3 Units
DRAM 1209,Drawing and Painting Techniques for the Theatre,3 Units
DRAM 1217,Theatre Production: Costumes And Makeup,3 Units
DRAM 1218,Theatre Production: Stagecraft,3 Units
DRAM 1282,Practicum in Dramatic Arts: Production Run Crew,1-6 Units
DRAM 1702,Acting II,3 Units
DRAM 1710,Exploration of Acting,3 Units
DRAM 1802,Stage Movement II,3 Units
DRAM 1902,Voice and Speech II,3 Units
DRAM 2120,Entrepreneurship in the Arts,3 Units
DRAM 2131,Histories of Drama and Performance II,3 Units
DRAM 2702,Acting IV,3 Units
DRAM 2812,Stage Movement IV,3 Units
DRAM 2902,Vocal Performance Techniques,3 Units
DRAM 3103,Stage Management for the Theatre,3 Units
DRAM 3130,Women in Theatre: Gender Identity and Expression on the Stage,3 Units
DRAM 3139,Theatre and Human Rights,3 Units
DRAM 3141W,Playwriting,3 Units
DRAM 3182,Practicum in Dramatic Arts,1-6 Units
DRAM 3194,Dramaturgy Seminar,1-3 Units
DRAM 3199,Independent Study,1-6 Units
DRAM 3201,Scene Construction,3 Units
DRAM 3219,Sound Technology and Production Audio,3 Units
DRAM 3402,Costume Design,3 Units
DRAM 3604,Puppetry in Television,3 Units
DRAM 3608,Hand Puppetry,3 Units
DRAM 3995,Special Topics in Dramatic Arts: Introduction to Acting and Directing Practices,3 Units
DRAM 3995,Special Topics in Dramatic Arts: Stagecraft for Engineers,3 Units
DRAM 4194,Seminar: Theatre Studies Senior Portfolio,1-6 Units
DRAM 4704,Acting VIII,3 Units
DRAM 4705,Acting for the Camera,1-6 Units
DRAM 4901,Senior Project,1-3 Units
DRAM 4911,Voice and Speech IV,3 Units
DRAM 4931,Stage Dialects,3 Units
DSDA 1995,Special Topics: Data Science and Society using R,3 Units
DSDA 4815,Applied Data Analysis Capstone,3 Units
ECE 1401,Programming for Electrical Engineers,3 Units
ECE 2001,Electrical Circuits,4 Units
ECE 3001,Electromagnetic Fields and Waves,3 Units
ECE 3101,Signals and Systems,3 Units
ECE 3111,Systems Analysis and Design,4 Units
ECE 3161,Introduction to Robotics,3 Units
ECE 3163,Robot Control and Dynamics,3 Units
ECE 3201,Electronic Circuit Design and Analysis,4 Units
ECE 3211,Power Electronics,4 Units
ECE 3221,Digital Integrated Circuits,3 Units
ECE 3225,Optical Engineering Laboratory,3 Units
ECE 3401,Digital Systems Design,3 Units
ECE 3411,Microprocessor Applications Laboratory,3 Units
ECE 3421,Very Large Scale Integrated (VLSI) Design and Simulation,4 Units
ECE 4079,Independent Design Laboratory,1-3 Units
ECE 4096,Independent Research in Electrical and Computer Engineering,1-3 Units
ECE 4097,Thesis in Electrical and Computer Engineering,1-3 Units
ECE 4099,Independent Study in Electrical and Computer Engineering,1-4 Units
ECE 4111,Communication Systems,3 Units
ECE 4122,Systems Laboratory,3 Units
ECE 4131,Introduction to Digital Signal Processing,3 Units
ECE 4132,Image Processing Systems Laboratory,3 Units
ECE 4141,Introduction to RF/Microwave Wireless Systems,3 Units
ECE 4161,Robotics Systems Laboratory,3 Units
ECE 4211,Semiconductor Devices and Nanostructures,3 Units
ECE 4244,Nanotechnology II,3 Units
ECE 4550,Microgrids,3 Units
ECE 4900W,Communicating Engineering Solutions in a Societal Context,1 Unit
ECE 4902,Electrical and Computer Engineering Design II,3 Units
ECON 1000,Essentials of Economics,3 Units
ECON 1108,Game Theory in the Natural and Social Sciences,3 Units
ECON 1201,Principles of Microeconomics,3 Units
ECON 1202,Principles of Macroeconomics,3 Units
ECON 2101,Economic History of Europe,3 Units
ECON 2101W,Economic History of Europe,3 Units
ECON 2102,Economic History of the United States,3 Units
ECON 2120,Honors Core: Rights and Harms,3 Units
ECON 2201,Intermediate Microeconomic Theory,3 Units
ECON 2202,Intermediate Macroeconomic Theory,3 Units
ECON 2211Q,Quantitative Intermediate Microeconomics,3 Units
ECON 2212Q,Quantitative Intermediate Macroeconomics,3 Units
ECON 2301Q,Mathematical Economics,3 Units
ECON 2311Q,Econometrics I,3 Units
ECON 2312Q,Econometrics II,3 Units
ECON 2326,Operations Research,3 Units
ECON 2411,Money and Banking,3 Units
ECON 2440,Economics of the Global Economy,3 Units
ECON 2441,Labor Economics,3 Units
ECON 2447,Economics of Sports,3 Units
ECON 2451,Economic Behavior and Health Policy,3 Units
ECON 2456,Economics of Poverty,3 Units
ECON 2481,Internship Field Study,1-6 Units
ECON 2491,Internship Research Paper,1 Unit
ECON 2491W,Internship Research Paper,1 Unit
ECON 2499,Independent Study,1-6 Units
ECON 2500W,Writing in Economics,1 Unit
ECON 3103,Global Economic History: Deep Roots of Modern Societies,3 Units
ECON 3208,Game Theory,3 Units
ECON 3315,Financial Econometrics,3 Units
ECON 3317,Machine Learning for Economists,3 Units
ECON 3321,Programming and Computation with R for Economists,3 Units
ECON 3322,Open Source Programming with Python for Economists,3 Units
ECON 3413,Financial Economics,3 Units
ECON 3422,International Finance,3 Units
ECON 3461,Organization of Industry,3 Units
ECON 3466E,Environmental Economics,3 Units
ECON 3468,Economics of the Law,3 Units
ECON 3473,Economic Development,3 Units
ECON 3492,Practicum: Fed Challenge,1-6 Units
ECON 3495,"Special Topics: Energy, Environment & Sustainability: Energy Econ",3 Units
ECON 3499,Independent Study,1-6 Units
ECON 4323,Convex Optimization with Python,3 Units
ECON 4494W,Seminar in Economics,3 Units
ECON 4497W,Senior Thesis in Economics,3 Units
EDCI 1100,"If You Love It, Teach It",3 Units
EDCI 2100,"Power, Privilege, and Public Education",3 Units
EDCI 3211,Introduction to Secondary Methods and Clinic: English: English,3 Units
EDCI 3212,Introduction to Secondary Methods and Clinic: Mathematics: Mathematics,3 Units
EDCI 3213,Introduction to Secondary Methods and Clinic: Science: Science,3 Units
EDCI 3214,Introduction to Secondary Methods and Clinic: Social Studies: Social Studies,3 Units
EDCI 3215,Teaching World Languages to the Elementary-Age Student: Seminar and Clinic: World Language,3 Units
EDCI 3305,Methods and Clinic in Elementary School Music,3 Units
EDCI 4010,"Teaching Reading and Writing in the Content Areas: English, Music, World Lang.",2 Units
EDCI 4010,"Teaching Reading and Writing in the Content Areas: Soc. Studies, Science, Math",2 Units
EDCI 4088,Variable Topics: Teaching Mathematics in the Early Childhood Grades,3 Units
EDCI 4099,Independent Study for Undergraduates,1-6 Units
EDCI 4110W,Teaching Reading and Writing in the Elementary School,3 Units
EDCI 4150,Directed Student Teaching,9 Units
EDCI 4250,Directed Student Teaching: English,9 Units
EDCI 4250,Directed Student Teaching: Mathematics,9 Units
EDCI 4250,Directed Student Teaching: Music,9 Units
EDCI 4250,Directed Student Teaching: Science,9 Units
EDCI 4250,Directed Student Teaching: Social Studies & History,9 Units
EDCI 4250,Directed Student Teaching: World Languages,9 Units
EDLR 1161,Husky Reads: Introducing Food and Nutrition to Children through Reading,2 Units
EDLR 1162,Health and Education in Urban Communities,1 Unit
EDLR 2001,Contemporary Social Issues in Sport,3 Units
EDLR 3090,Directed Observation and Participation in Sport Organizations,1-3 Units
EDLR 3091,Internship in Sport Organizations,1-6 Units
EDLR 3298,Variable Topics: The Resident Assistant Experience,1 Unit
EDLR 3299,Independent Study for Undergraduates,1-6 Units
EDLR 3300W,Sport in Society,3 Units
EDLR 3325,Sport Venue and Event Management,3 Units
EDLR 3345,Financial Management in the Sport Industry,3 Units
EDLR 3350,Introduction to Sport Communication,3 Units
EDLR 3547,Introduction to Sport Based Youth Development,4 Units
EDLR 3547W,Introduction to Sport Based Youth Development,4 Units
EEB 2100E,Global Change Ecology,3 Units
EEB 2202,Evolution and Human Diversity,3 Units
EEB 2208E,Introduction to Conservation Biology,3 Units
EEB 2222E,Plants in a Changing World,3 Units
EEB 2244E,General Ecology,4 Units
EEB 2245,Evolutionary Biology,3 Units
EEB 2254W,Current Research Topics in Ecology and Evolutionary Biology: Biodiversity on a Changing Planet,3 Units
EEB 2254W,Current Research Topics in Ecology and Evolutionary Biology: Ecology and  Evolution of Sharks,3 Units
EEB 2254W,Current Research Topics in Ecology and Evolutionary Biology: Ecology and Evolution,3 Units
EEB 2254W,Current Research Topics in Ecology and Evolutionary Biology: Ecology and Evolution of Birds,3 Units
EEB 2258W,Current Topics in Conservation and Climate Change Biology: Conservation Genetics,3 Units
EEB 3201,Animal Behavior,3 Units
EEB 3240,Biology of Bryophytes and Lichens,4 Units
EEB 3265,Herpetology,4 Units
EEB 3271,Systematic Botany,4 Units
EEB 3894,Undergraduate Seminar: Current Research in Ecology and Evolutionary,1 Unit
EEB 3895,Special Topics: Tropical Ecology,3 Units
EEB 3899,Independent Study,1-6 Units
EEB 4120,Paleobiology,4 Units
EEB 4260,Ornithology,2 Units
EEB 4896W,Senior Research Thesis in Ecology and Evolutionary Biology,3 Units
EGEN 3110,Seminar/Clinic: The Student in the School Context: MUSIC (B/B),3 Units
EGEN 3200,Peer Mentoring and Leadership,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Elem Ed- EH/ Manchest/ Windh/ Winds,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Elem Ed-Coventry/Glastonbury/Mansfield,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Elem Ed-Hartford/S. Windsor/Vernon/W. Hartford,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Music Education,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Secondary English,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Secondary Math and Science,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Secondary Social Studies,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Secondary World Language,3 Units
EGEN 4110,Seminar/Clinic: Analysis of Teaching: Special Education,3 Units
EGEN 4197,Independent Study: Honors Thesis Preparation,3 Units
ENGL 1003,Academic Literacies for Multilingual Students,3 Units
ENGL 1004,Introduction to Academic Writing,4 Units
ENGL 1007,Seminar and Studio in Writing and Multimodal Composition,4 Units
ENGL 1101,Classical and Medieval Western Literature,3 Units
ENGL 1101W,Classical and Medieval Western Literature,3 Units
ENGL 1103W,Renaissance and Modern Western Literature,3 Units
ENGL 1201,Introduction to American Studies,3 Units
ENGL 1401,Horror,3 Units
ENGL 1601W,"Race, Gender, and the Culture Industry",3 Units
ENGL 1616W,Major Works of English and American Literature,3 Units
ENGL 2013W,Introduction to Writing Studies,3 Units
ENGL 2100,British Literature I,3 Units
ENGL 2101,British Literature II,3 Units
ENGL 2200,Literature and Culture of North America before 1800,3 Units
ENGL 2201,American Literature to 1880,3 Units
ENGL 2201W,American Literature to 1880,3 Units
ENGL 2203,American Literature Since 1880,3 Units
ENGL 2203W,American Literature Since 1880,3 Units
ENGL 2214,African American Literature,3 Units
ENGL 2214W,African American Literature,3 Units
ENGL 2274W,Disability in American Literature and Culture,3 Units
ENGL 2276,American Utopias and Dystopias,3 Units
ENGL 2276W,American Utopias and Dystopias,3 Units
ENGL 2301,Anglophone Literatures,3 Units
ENGL 2301W,Anglophone Literatures,3 Units
ENGL 2401,Poetry,3 Units
ENGL 2401W,Poetry,3 Units
ENGL 2405,Drama,3 Units
ENGL 2407,The Short Story,3 Units
ENGL 2408W,Modern Drama,3 Units
ENGL 2411W,Popular Literature,3 Units
ENGL 2413,The Graphic Novel,3 Units
ENGL 2413W,The Graphic Novel,3 Units
ENGL 2600,Introduction to Literary Studies,3 Units
ENGL 2603,Literary Approaches to the Bible,3 Units
ENGL 2605W,"Capitalism, Literature, and Culture",3 Units
ENGL 2614,Writing with Algorithms,3 Units
ENGL 2635E,Literature and the Environment,3 Units
ENGL 2701,Creative Writing I,3 Units
ENGL 2730W,Travel Writing,3 Units
ENGL 3003W,Topics in Writing Studies: Writing With and About AI,3 Units
ENGL 3010W,Advanced Composition for Prospective Teachers,3 Units
ENGL 3013W,Media Publishing,3 Units
ENGL 3082,Writing Center Practicum,1 Unit
ENGL 3091,Writing Internship,1-8 Units
ENGL 3111W,Medieval English Literature,3 Units
ENGL 3122,Irish Literature in English since 1939,3 Units
ENGL 3122W,Irish Literature in English since 1939,3 Units
ENGL 3212,Asian American Literature,3 Units
ENGL 3215W,Twentieth- and Twenty-First Century African American Literature,3 Units
ENGL 3220W,Jewish American Literature and Culture,3 Units
ENGL 3240E,American Nature Writing,3 Units
ENGL 3265W,American Studies Methods,3 Units
ENGL 3301,Celtic and Norse Myth and Legend,3 Units
ENGL 3320,Literature and Culture of India,3 Units
ENGL 3420,Children's Literature,3 Units
ENGL 3422,Young Adult Literature,3 Units
ENGL 3609,Women's Literature,3 Units
ENGL 3611,Women's Literature 1900 to the Present,3 Units
ENGL 3613,LGBTQ+ Literature,3 Units
ENGL 3623,Studies in Literature and Culture: Indigenous Horror,3 Units
ENGL 3640,British Film,3 Units
ENGL 3699,Independent Study,1-6 Units
ENGL 3701,Creative Writing II,3 Units
ENGL 3703,Writing Workshop,3 Units
ENGL 3703,Writing Workshop: Creative Non-Fiction,3 Units
ENGL 3713,Literary Magazine Editing: Long River Review,3 Units
ENGL 3715E,Nature Writing Workshop,3 Units
ENGL 4101W,Advanced Study: British Literature: Thomas Hardy& Virginia Woolf,3 Units
ENGL 4301W,Advanced Study: Anglophone Literature: Transnational Subjects,3 Units
ENGL 4600W,Advanced Study: Seminars in Literature: Romantic Love in Literature,3 Units
ENGL 4897,Honors VIII: Honors Thesis,3 Units
ENGL 4965W,Advanced Studies in Early Literature: Making New: Remakes & Remixes in Cont. Pop Culture,3 Units
ENGR 1025,Engineering for Impact: Emerging Leaders,1 Unit
ENGR 1166,Foundations of Engineering,3 Units
ENGR 1166,"Foundations of Engineering: CE,CHEG,ME,ENVE,ENGR,BME,MSE,ECE",3 Units
ENGR 1195,Special Topics in Engineering: Sophomore Bridge Fundamentals,3 Units
ENGR 2215,Principles of Manufacturing Engineering,3 Units
ENGR 2300E,Engineering for Human Rights,3 Units
ENGR 3020,"EDOC: Confidence, Communication and Presentation",1 Unit
ENGR 3021,Engineering Ambassadors: Technical Communication and Presentation,1 Unit
ENGR 3024,"Adv - Building our Sistas Strength (BOSS) Leveraging Adversity, Diversity and Intellect (LADI)",3 Units
ENGR 3025,Engineering for Impact - Advanced Leaders,1 Unit
ENGR 3109,Navy STEM Professional Development Seminar,1 Unit
ENGR 3120,LabVIEW Basics for Engineers,1 Unit
ENGR 3195,Special Topics in Engineering: Design of textile based wearable healthcare device,3 Units
ENGR 3195,Special Topics in Engineering: Engineering Peer Mentors,1 Unit
ENGR 3195,Special Topics in Engineering: Human Factors in Design,3 Units
ENGR 3195,Special Topics in Engineering: Ind. Design: Process and Pract,3 Units
ENGR 3195,Special Topics in Engineering: Indust. Design: Digital Fab,3 Units
ENGR 3195,Special Topics in Engineering: STEM Venture Fund,3 Units
ENGR 3195,Special Topics in Engineering: Startup Consulting,3 Units
ENGR 3195,Special Topics in Engineering: UConn Brewing Innovation: Brew Crew,3 Units
ENGR 3209,Sustainable Energy in the 21st Century,3 Units
ENGR 3215,Statistical Quality Control and Reliability for Manufacturing,3 Units
ENGR 3281,Engineering Internship,0 Units
ENGR 3400,Engineering Data Analysis Techniques,3 Units
ENGR 3501,Technology Innovation and Entrepreneurship II,3 Units
ENGR 4002W,Multidisciplinary Engineering Design II,3 Units
ENGR 4244,Nanotechnology II,3 Units
ENGR 4299,Independent Study,1-4 Units
ENVE 1000E,Environmental Sustainability,3 Units
ENVE 2310E,Environmental Engineering Fundamentals,3 Units
ENVE 3111,Brownfield Practicum,3 Units
ENVE 3120,Fluid Mechanics,4 Units
ENVE 3202,Environmental Engineering Laboratory II,1 Unit
ENVE 3230,Air Pollution Control,3 Units
ENVE 3530,Engineering and Environmental Geology,3 Units
ENVE 3995,Special Topics in Environmental Engineering: Environmental Dynamics of Air Pollution,3 Units
ENVE 3996,Directed Research in Environmental Engineering,1-3 Units
ENVE 4310,Environmental Modeling,3 Units
ENVE 4320,Ecological Principles and Engineering,3 Units
ENVE 4530,Geoenvironmental Engineering,3 Units
ENVE 4820,Hydraulic Engineering,3 Units
ENVE 4886,Thesis I,1 Unit
ENVE 4897,Thesis in Environmental Engineering,2 Units
ENVE 4920W,Environmental Engineering Design II,2 Units
ENVE 4996,Independent Research in Environmental Engineering,1-3 Units
ENVE 4999,Independent Study in Environmental Engineering,1-6 Units
ENVS 2000,Integrating Humans and the Environment,3 Units
ENVS 3991,Internship,1-12 Units
ENVS 3999,Independent Study,3 Units
EPSY 1100,Introduction to Special Education,3 Units
EPSY 1450W,"Mind, Body, Health",3 Units
EPSY 2810,Creativity: Debunking Myths and Enhancing Innovation,3 Units
EPSY 3010,Educational Psychology,3 Units
EPSY 3030,UConn Connects Mentoring,3 Units
EPSY 3090,Field Study in Education,1-6 Units
EPSY 3098,Variable Topics: FYE Mentor,2 Units
EPSY 3098,Variable Topics: LLC:Public Health House,2 Units
EPSY 3098,Variable Topics: UConn Connects,3 Units
EPSY 3099,Independent Study for Undergraduates,1-6 Units
EPSY 3110,Exceptionality,2 Units
EPSY 3130,Methods for Teaching Students with Disabilities,4 Units
EPSY 3235,The Resident Assistant,3 Units
EPSY 4010,Assessment of Learning,2 Units
EPSY 4110,Advanced Foundations of Disability,3 Units
EPSY 4115,Directed Student Teaching: Special Education,9 Units
ERTH 1000E,The Human Epoch: Living in the Anthropocene,3 Units
ERTH 1050,Earth's Dynamic Environment,4 Units
ERTH 1051,Earth's Dynamic Environment (Lecture),3 Units
ERTH 1052,Earth's Dynamic Environment (Laboratory),1 Unit
ERTH 2050W,Communicating Earth and Environmental Science,3 Units
ERTH 2310E,Creating and Sustaining National Parks,3 Units
ERTH 2800E,Our Evolving Atmosphere,3 Units
ERTH 3010,Earth History and Global Change,3 Units
ERTH 3040,Earth Materials,3 Units
ERTH 3230,Beaches and Coasts,3 Units
ERTH 3710,Engineering and Environmental Geology,3 Units
ERTH 4110,Sedimentology and Stratigraphy,3 Units
ERTH 4120,Paleobiology,4 Units
ERTH 4230,GIS and Remote Sensing for Geoscience Applications,3 Units
ERTH 4710,Environmental Site Assessment,3 Units
ERTH 4720,Environmental Geochemistry,3 Units
ERTH 4810,Modeling the Changing Atmosphere and Ocean,3 Units
ERTH 4995,Special Topics: How to Read Rock Secrets,1 Unit
ERTH 4996W,Undergraduate Research Thesis in Geoscience,3 Units
ERTH 4999,Independent Study,1-6 Units
EVST 1000E,Introduction to Environmental Studies,3 Units
EVST 3991,Supervised Field Work,1-12 Units
EVST 3999,Independent Study,1-6 Units
EVST 4000W,Environmental Studies Capstone Research Project,3 Units
FNCE 3101,Financial Management,3 Units
FNCE 3230,Real Estate Principles,3 Units
FNCE 3302,Investments and Security Analysis,3 Units
FNCE 3303,Principles of Investments and Derivatives,3 Units
FNCE 3332,Real Estate Investments,3 Units
FNCE 3335,Commercial Real Estate Appraisal,3 Units
FNCE 3715,Personal Finance,3 Units
FNCE 4209,Applications in Financial Management,3 Units
FNCE 4302,Fixed Income Securities,3 Units
FNCE 4303,Advanced Issues in Asset Allocation and Portfolio Management,3 Units
FNCE 4304,Financial Derivatives and Risk Management,3 Units
FNCE 4305,Global Financial Management,3 Units
FNCE 4306,Financial Services,3 Units
FNCE 4309,High Frequency Trading Management,3 Units
FNCE 4410,Security Valuation and Portfolio Management,3 Units
FNCE 4430,Mergers and Acquisitions,3 Units
FNCE 4440,Financial Ethics,1 Unit
FNCE 4895,Special Topics: Applied Invest Analysis Management,3 Units
FNCE 4895,Special Topics: Build Blocks of Invest Analysis,3 Units
FNCE 4895,Special Topics: Hillside Private Capital,3 Units
FNCE 4895,Special Topics: Institutional Investment Management,3 Units
FNCE 4895,Special Topics: Real Estate Investment Fund,3 Units
FNCE 4899,Independent Study,1 Unit
FNCE 4997W,Senior Thesis in Finance,3 Units
FREN 1101,Elementary French I,4 Units
FREN 1102,Elementary French II,4 Units
FREN 1103,Intermediate French I,4 Units
FREN 1104,Intermediate French II,4 Units
FREN 1169,Modernity in Crisis: France and the Francophone World From 1850 to Today,3 Units
FREN 1171,French Cinema,3 Units
FREN 1176,Literature and Cultures of the Postcolonial Francophone World,3 Units
FREN 1177,"Magicians, Witches, Wizards: Parallel Beliefs and Popular Culture in France",3 Units
FREN 3102,French for Engineering II,1 Unit
FREN 3211W,Contemporary France,3 Units
FREN 3215,Introduction to Translation,3 Units
FREN 3218,Francophone Studies,3 Units
FREN 3250,Global Culture in French I,3 Units
FREN 3268,Grammar and Composition,3 Units
FREN 3269,Advanced French Grammar,3 Units
FREN 3270W,French Literature and Civilization in English,3 Units
GEOG 1000,Introduction to Geography,3 Units
GEOG 1010,New Digital Worlds of Geographic Information Science,3 Units
GEOG 1200,Global Urbanization,3 Units
GEOG 1300E,"Climate, Weather, and the Environment",3 Units
GEOG 1302,GIS Modeling of Environmental Change,4 Units
GEOG 1700,World Regional Geography,3 Units
GEOG 2000,Globalization,3 Units
GEOG 2100,Economic Geography,3 Units
GEOG 2200,Introduction to Human Geography,3 Units
GEOG 2300E,Introduction to Physical Geography,3 Units
GEOG 2320E,Climate Change: Current Geographic Issues,3 Units
GEOG 2400E,Introduction to Sustainable Cities,3 Units
GEOG 2500,Introduction to Geographic Information Systems,4 Units
GEOG 2505,Applications of Geographic Information Systems,3 Units
GEOG 3010,Indigenous Geographies in Abya Yala and Turtle Island (The Americas),3 Units
GEOG 3200,Urban Geography,3 Units
GEOG 3350E,"Global Change, Local Action: A Geography of Environmentalism",3 Units
GEOG 3410E,Human Modifications of Natural Environments,3 Units
GEOG 3500Q,Geographic Data Analysis,3 Units
GEOG 3510,Cartographic Techniques,3 Units
GEOG 3600,Global Dynamics of the Shipping Industry,3 Units
GEOG 4000W,Capstone Seminar in Geography,3 Units
GEOG 4095,Special Topics: Introduction to Geospatial Artificial Intelligence,3 Units
GEOG 4099,Independent Study,1-6 Units
GEOG 4230,GIS and Remote Sensing for Geoscience Applications,3 Units
GEOG 4240,"Disaster Risk, Vulnerability, and Resilience",3 Units
GEOG 4340,Biogeography,3 Units
GEOG 4518,Mobile GIS,3 Units
GERM 1001,Elementary German I,4 Units
GERM 1002,Elementary German II,4 Units
GERM 1003,Intermediate German I,4 Units
GERM 1004,Intermediate German II,4 Units
GERM 1140W,German Literature in English,3 Units
GERM 1171,The German Film,3 Units
GERM 2400E,The Environment in German Culture,3 Units
GERM 3221,Introduction to the Sciences in German,1 Unit
GERM 3234,Building Language Skills Through Culture II,3 Units
GERM 3251,German Culture and Civilization,3 Units
GERM 3255,Studies in 20th Century German Literature,3 Units
GERM 3264W,German Cinema in Cross-Cultural Perspective,3 Units
GERM 3292,German Language Practicum,1-6 Units
GERM 3299,Independent Study,1-6 Units
GERM 4246,The Finishing Touch: A Capstone in German Studies,3 Units
GPS 3099,Independent Study,1-6 Units
HCMI 3221,Risk Management and Insurance,3 Units
HCMI 3240,Introduction to Health Care Management,3 Units
HCMI 3243,Health Care Economics,3 Units
HCMI 4225,Health and Social Insurance,3 Units
HCMI 4448,Clinical and Social Issues in Health Care,3 Units
HCMI 4881,Internship in Health Care Management,1-3 Units
HCMI 4899,Independent Study for Undergraduates,1-6 Units
HCMI 4997W,Senior Thesis in Health Care Management and Insurance Studies,3 Units
HDFS 1060,Close Relationships Across the Lifespan,3 Units
HDFS 1070,Individual and Family Development,3 Units
HDFS 2001,Diversity Issues in Human Development and Family Sciences,3 Units
HDFS 2004W,Research Methods in Human Development and Family Sciences,4 Units
HDFS 2100,Human Development: Infancy Through Adolescence,3 Units
HDFS 2120,Introduction to Programs for Young Children,3 Units
HDFS 2200,Human Development: Adulthood and Aging,3 Units
HDFS 2300,Family Interaction Processes,3 Units
HDFS 3080,Supervised Field Experience,3-6 Units
HDFS 3092,Research Practicum in Human Development and Family Sciences,1-6 Units
HDFS 3095,Special Topics: Black Families,3 Units
HDFS 3095,Special Topics: Cultural Diversity in Children's Development,3 Units
HDFS 3102,Early and Middle Childhood Development,3 Units
HDFS 3103,Adolescent Development,3 Units
HDFS 3123,Integrated Curriculum Methods and Materials for Preschool and Kindergarten,3 Units
HDFS 3127,Professional Development and Advocacy in Early Childhood,3 Units
HDFS 3141,Developmental Approaches to Intergroup Relations and Victimization,3 Units
HDFS 3192,Early Childhood Development and Education: Supervised Fieldwork Practicum,4 Units
HDFS 3245,Aging in American Society,3 Units
HDFS 3252,"Death, Dying, and Bereavement",3 Units
HDFS 3261,Men and Masculinities,3 Units
HDFS 3277,Issues in Human Sexuality,3 Units
HDFS 3310,Parent Child Relations in Cross-Cultural Perspective,3 Units
HDFS 3311,Parenthood and Parenting,3 Units
HDFS 3340,Individual and Family Interventions,3 Units
HDFS 3420,Abuse and Violence in Families,3 Units
HDFS 3520,Legal Aspects of Family Life,3 Units
HDFS 3530,Public Policy and the Family,3 Units
HDFS 3540,"Child Welfare, Law and Social Policy",3 Units
HDFS 4004,Senior Seminar in Research Methods,3 Units
HDFS 4007W,Professional Communication in HDFS,3 Units
HDFS 4087W,Honors Thesis,3-6 Units
HDFS 4097,Honors Thesis Preparation Seminar,1 Unit
HDFS 4099,Independent Study for Undergraduates,1-6 Units
HEJS 1002,Elementary Modern Hebrew II,4 Units
HEJS 2204,Jewish Culture in American Film,3 Units
HEJS 3050W,Anthropology of Jews and Jewishness,3 Units
HEJS 3201,Selected Books of the Hebrew Bible,3 Units
HEJS 3298,Variable Topics: Introduction to Genocide Studies,3 Units
HEJS 3299,Independent Study,1-4 Units
HEJS 3330,Palestine Under the Greeks and Romans,3 Units
HEJS 3401W,Jewish American Literature and Culture,3 Units
HEJS 3419,Jewish Responses to the Holocaust,3 Units
HIST 1100W,The Historian as Detective,3 Units
HIST 1200,"World History, 1200-1800",3 Units
HIST 1201,Modern World History,3 Units
HIST 1203,Women in History,3 Units
HIST 1206,Living Through War in World History Since 1500,3 Units
HIST 1300,Western Traditions Before 1500,3 Units
HIST 1400,Modern Western Traditions,3 Units
HIST 1450,Global History of the Second World War,3 Units
HIST 1501,United States History to 1877,3 Units
HIST 1501W,United States History to 1877,3 Units
HIST 1502,U.S. History Since 1877,3 Units
HIST 1502W,U.S. History Since 1877,3 Units
HIST 1503,Introduction to American Studies,3 Units
HIST 1600,Introduction to Latin America and the Caribbean,3 Units
