Undergrad_Course_Title,Credit
ESC 201 - History of Earth and Life,4 credit(s).
ESC 205 - Principles of Meteorology,4 credit(s).
ESC 210 - Principles of Astronomy,4 credit(s).
ESC 220 - Physical and Chemical Oceanography,3 credit(s).
ESC 235 - Computation and Visualization of Data in the Earth Sciences.,3 credit(s).
ESC 303 - Environmental Earth Science,3 credit(s).
ESC 311 - Mineralogy,4 credit(s).
ESC 312 - Petrology,4 credit(s).
ESC 315 - Geomorphology and Natural Hazards,3 credit(s).
ESC 325 - Sedimentology and Stratigraphy,4 credit(s).
ESC 332 - Invertebrate Paleontology and the Fossil Record,4 credit(s).
ESC 350 - Structural Geology and Tectonics,4 credit(s).
ESC 420 - Earth Resources,3 credit(s).
ESC 421 - Marine Geology,3 credit(s).
ESC 430 - Field Methods,3 credit(s).
ESC 457 - Hydrology,3 credit(s).
ESC 458 - Soil Science,3 credit(s).
ESC 461 - Glacial Geology,3 credit(s).
ESC 492 - Undergraduate Thesis Proposal,1 credit(s).
ESC 493 - Undergraduate Thesis,3 credit(s).
ESC 497 - Internship in Earth Science,3 credit(s).
ESC 499 - Independent Study and Research,1 to 3 credit(s).
FIN 200 - Critical Thinking in Finance,3 credit(s).
FIN 250 - U.S. Financial Industry Through Film,3 credit(s).
FIN 300 - Corporate Finance,3 credit(s).
FIN 325 - Financial Management & Reporting for Public Utilities,1.5 credit(s).
FIN 340 - Financial Markets and Institutions,3 credit(s).
FIN 341 - Principles of Investment,3 credit(s).
FIN 343 - Commercial Banking,3 credit(s).
FIN 345 - Principles of Real Estate,3 credit(s).
FIN 346 - Financial Risk Management,3 credit(s).
FIN 347 - International Financial Management,3 credit(s).
FIN 400 - Behavioral Finance,3 credit(s).
FIN 401 - Financial Modeling and Analytics,3 credit(s).
FIN 432 - Advanced Corporate Finance,3 credit(s).
FIN 435 - Business Valuation,3 credit(s).
FIN 439 - Security Analysis and Portfolio Management,3 credit(s).
FIN 446 - Quantitative Methods in Financial Risk Management,3 credit(s).
FIN 450 - Finance Capstone,3 credit(s).
FIN 456 - Entrepreneurial Finance and Venture Capital,3 credit(s).
FIN 457 - Real Estate Finance,3 credit(s).
FIN 458 - Seminar in Real Estate,3 credit(s).
FIN 460 - Treasury Management,3 credit(s).
FIN 470 - Practicum of Investing,3 credit(s).
FIN 480 - Introduction to Futures and Options,3 credit(s).
FIN 485 - Fundamentals of Fintech,3 credit(s).
FIN 490 - Fintech Seminar,3 credit(s).
FIN 496 - Big Data Analytics and Machine Learning Applications inFinance,3 credit(s).
FIN 497 - Internship,3 credit(s).
FRE 100 - French I,3 credit(s).
FRE 101 - French II,3 credit(s).
FRE 200 - French III,3 credit(s).
"FRE 201 - Feasting on France and the Francophone World: Language, Culture, Cuisine.",3 credit(s).
FRE 202 - French Language for the Global World,3 credit(s).
FRE 206 - French Culture in France,3 credit(s).
FRE 210 - Continuing French,3 credit(s).
FRE 300 - Expressing Yourself in Writing,3 credit(s).
FRE 301 - Expressing Yourself in Speaking I,3 credit(s).
FRE 302 - Expressing Yourself in Speaking II,3 credit(s).
FRE 306 - Advanced French Culture and Language Practice in France,3 credit(s).
FRE 310 - French Civilization I,3 credit(s).
FRE 311 - French Civilization II,3 credit(s).
FRE 312 - Contemporary French Culture,3 credit(s).
FRE 398 - Special Topics in French,3 credit(s).
FRE 400 - Advanced French,3 credit(s).
FRE 416 - Francophone Voices,3 credit(s).
FRE 496 - Advanced French Grammar,3 credit(s).
FYE 100 - ,15 credit(s).
"GEO 100 - People, Places, and Environments",3 credit(s).
GEO 104 - Sustainability in America: Challenges and Solutions,3 credit(s).
GEO 170 - Basic Drone Technology,3 credit(s).
GEO 200 - Human Geography,3 credit(s).
GEO 201 - Physical Geography,4 credit(s).
GEO 260 - Population Geography,3 credit(s).
GEO 270 - Designing Maps,3 credit(s).
GEO 273 - Land Use Planning,3 credit(s).
GEO 290 - Research Methods in Geography and Environmental Sustainability,3 credit(s).
GEO 305 - Environmental Economic Geography,3 credit(s).
"GEO 308 - Race, Class and Gender: Geographies of Social (In)Justice",3 credit(s).
GEO 311 - The United States and Canada,3 credit(s).
GEO 330 - Europe,3 credit(s).
GEO 357 - Coastal and Marine Geography,3 credit(s).
GEO 360 - Introduction to GIS,4 credit(s).
GEO 367 - GIS for Public Health,4 credit(s).
GEO 370 - Remote Sensing,4 credit(s).
GEO 371 - Cartography,4 credit(s).
GEO 400 - Geography of Wine,3 credit(s).
GEO 405 - Environmental Justice,3 credit(s).
GEO 460 - GIS II,4 credit(s).
GEO 461 - Environmental GIS,4 credit(s).
GEO 470 - Field Techniques,3 credit(s).
GEO 481 - Spatial Analysis,4 credit(s).
GEO 490 - Capstone Seminar,4 credit(s).
GEO 497 - Internship,3 to 6 credit(s).
GEO 499 - Independent Study,1 to 3 credit(s).
GER 100 - German I,3 credit(s).
GER 101 - German II,3 credit(s).
GER 201 - Continuing German: Contemporary German Culture,3 credit(s).
GER 202 - Continuing German: Exploring a German City,3 credit(s).
HIS 100 - Western Civilization to 1500,3 credit(s).
HIS 101 - Western Civilization from 1500 to the present,3 credit(s).
HIS 104 - Islamic Civilization,3 credit(s).
HIS 105 - Introduction to Southeast Asia: Southeast Asia to 1500.,3 credit(s).
HIS 106 - East Asia to 1850,3 credit(s).
HIS 110 - United States History to 1877,3 credit(s).
HIS 111 - United States History from 1877 to the present,3 credit(s).
HIS 128 - Latin American History,3 credit(s).
HIS 150 - Voices from the Past,3 credit(s).
HIS 200 - The Historian's Craft,3 credit(s).
HIS 201 - U.S. History Through Film,3 credit(s).
HIS 202 - European History Through Film,3 credit(s).
HIS 210 - U.S. Black History,3 credit(s).
HIS 212 - War and American Society,3 credit(s).
HIS 220 - Sports in U.S. History,3 credit(s).
HIS 221 - Ancient History: Classical Greece and Rome,3 credit(s).
HIS 232 - England and the British Empire,3 credit(s).
HIS 235 - The Holocaust,3 credit(s).
HIS 237 - Modern Germany,3 credit(s).
HIS 240 - The Middle East from Muhammad to the Mongols,3 credit(s).
HIS 241 - The Modern Middle East,3 credit(s).
HIS 257 - Indigenous Histories in North America to 1850,3 credit(s).
"HIS 258 - Indigenous Histories in North America, since 1850",3 credit(s).
HIS 259 - Digital New Haven Project,3 credit(s).
HIS 262 - Connecticut,3 credit(s).
"HIS 266 - Conspiracy Theories, Photography and U.S. History",3 credit(s).
HIS 290 - Latin American History Through Film,3 credit(s).
HIS 300 - The Vietnam War Era,3 credit(s).
HIS 304 - The Reformation,3 credit(s).
HIS 307 - Europe in the 19th Century,3 credit(s).
HIS 309 - Issues in Global History,3 credit(s).
HIS 311 - Who Built America? 1500-1928,3 credit(s).
HIS 315 - American Roots,3 credit(s).
HIS 316 - History of Ancient Greece,3 credit(s).
HIS 317 - History of Rome from its Origins to Caesar,3 credit(s).
HIS 318 - Women in American History 1620-1890,3 credit(s).
HIS 319 - Women in American History 1865 - Present,3 credit(s).
HIS 320 - History of the Indochina Wars 1965-1993,3 credit(s).
HIS 336 - Nazi Germany,3 credit(s).
HIS 337 - Utopia,3 credit(s).
"HIS 338 - History, Myth, and Legend in the Middle Ages",3 credit(s).
HIS 340 - The Crusades,3 credit(s).
HIS 341 - Islamic Fundamentalism,3 credit(s).
HIS 342 - 20th Century China,3 credit(s).
HIS 343 - Modern Eastern Europe,3 credit(s).
HIS 345 - History and Culture of the African Diaspora,3 credit(s).
HIS 347 - Cultural Confrontation in the Developing World,3 credit(s).
HIS 351 - Religion in America,3 credit(s).
HIS 357 - Recent American History: 1945 to the Present,3 credit(s).
HIS 358 - American Frontiers,3 credit(s).
HIS 359 - American Environmental History,3 credit(s).
HIS 367 - The 20th Century World in Conflict,3 credit(s).
HIS 376 - Alexander the Great and the Hellenistic Age,3 credit(s).
HIS 378 - Early China,3 credit(s).
HIS 398 - Special Topics in History,3 credit(s).
HIS 409 - Ethnic Groups and Ethnic Conflict: An International Perspective,3 credit(s).
HIS 485 - Seminar in History,3 credit(s).
HIS 490 - Social Science — Secondary School,3 credit(s).
HIS 494 - Student Teaching — History,9 credit(s).
HIS 496 - Student Teaching Seminar — History,3 credit(s).
HIS 497 - History Internship,1 to 12 credit(s).
HIS 498 - Special Topics in History,3 credit(s).
HIS 499 - Independent Study,1 to 3 credit(s).
HLS 100 - Introduction to Healthcare Professions,3 credit(s).
HLS 101 - Essentials of Medical Terminology,1 credit(s).
HLS 120 - Skills for Becoming a Certified Nurse Aid,5 credit(s).
HLS 150 - Introduction to Aging Studies,3 credit(s).
HLS 180 - Introduction to Research and Writing in Healthcare,1 credit(s).
HLS 210 - Principles of Patient Centered Healthcare,3 credit(s).
HLS 220 - Healthcare Communication,3 credit(s).
HLS 230 - Introduction to Clinical Trials,3 credit(s).
HLS 240 - Statistics for Health and Clinical Sciences,3 credit(s).
HLS 260 - Medical Terminology of Body Systems and Diseases,3 credit(s).
HLS 298 - Special Topics in Healthcare Studies,3 credit(s).
HLS 310 - Electronic Health Information,3 credit(s).
HLS 315 - Healthcare Systems & Policy,3 credit(s).
HLS 317 - Community Engagement in Health Research,3 credit(s).
HLS 330 - Case Studies in Healthcare Ethics,3 credit(s).
HLS 350 - Interventions and Support in Dementia Care,3 credit(s).
HLS 370 - Perspectives in LGBTQ+ Healthcare Practices,3 credit(s).
HLS 380 - Cultural Humility for the Healthcare Professional,3 credit(s).
HLS 410 - Medical Insurance and Billing,3 credit(s).
HLS 427 - Research Data Management,3 credit(s).
HLS 437 - Clinical Trial Administration and Good Clinical Practice,3 credit(s).
HLS 440 - Research Methods for Evidence- Based Healthcare,3 credit(s).
HLS 450 - Organization of Long-Term Care Facilities,3 credit(s).
HLS 490 - Career Skills for the Healthcare Professional,3 credit(s).
HLS 497 - Internship in Healthcare Studies,3 credit(s).
HLS 499 - Independent Study,1 to 3 credit(s).
HMS 131 - Teaching Aquatics,.5 credit(s).
HMS 158 - Athletic Training Professional Practice,1 credit(s).
HMS 160 - Introduction to Exercise and Sport Science,3 credit(s).
HMS 191 - Introduction to Teaching Physical Education,1.5 credit(s).
HMS 201 - Foundations in Scientific Writing,3 credit(s).
HMS 204 - Field Experience in Group Exercise Instruction,1 credit(s).
HMS 212 - Lifetime Physical Activity,3 credit(s).
HMS 280 - Survey of Anatomy and Physiology,3 credit(s).
HMS 281 - Anatomy and Physiology I,3 credit(s).
HMS 282 - Anatomy and Physiology II,3 credit(s).
HMS 283 - Functional Anatomy,3 credit(s).
HMS 291 - Exploring the Teaching of Physical Education,3 credit(s).
HMS 292 - Instructional Strategies for Physical Education,3 credit(s).
HMS 293 - Movement Foundations,3 credit(s).
HMS 301 - Exercise and Sport Nutrition,3 credit(s).
HMS 313 - Teaching Skill Themes and Movement Concepts,.5 credit(s).
HMS 314 - Teaching Individual Performance Activitites,.5 credit(s).
HMS 315 - Teaching Outdoor Pursuits and Adventure Education in PE,.5 credit(s).
HMS 316 - Physical Activity Promotion and Advocacy,.5 credit(s).
HMS 319 - Health and Safety for Coaches,3 credit(s).
HMS 350 - Teaching Physical Fitness K-12,3 credit(s).
"HMS 352 - Skill and Strategy of Target, Striking/Fielding, Net/Wall Games",3 credit(s).
"HMS 370 - Coaching Individual, Dual and Team Sports",3 credit(s).
HMS 380 - Sport Psychology,3 credit(s).
HMS 383 - Biomechanics of Sport and Exercise,3 credit(s).
HMS 384 - Exercise Physiology,3 credit(s).
HMS 387 - Standard First Aid and Personal Safety,1 credit(s).
HMS 389 - Exercise Physiology II,3 credit(s).
HMS 392 - Conditioning for Strength and Human Performance,3 credit(s).
HMS 394 - Physical Education (Elementary School),4 credit(s).
HMS 400 - Skill and Strategy of Invasion Games,3 credit(s).
HMS 401 - Exercise for Diverse Populations,3 credit(s).
HMS 411 - General Medical Perspectives,3 credit(s).
HMS 413 - Functional Anatomy and Clinical Kinesiology,3 credit(s).
HMS 421 - Organization and Administration in Exercise and Sport Science,3 credit(s).
HMS 442 - Practicum Seminar in Physical Education,3 credit(s).
HMS 452 - Elementary Physical Education Student Teaching,5.5 credit(s).
HMS 453 - Secondary Physical Education Student Teaching,5.5 credit(s).
HMS 455 - Sport Science and Performance Technology,3 credit(s).
HMS 480 - Motor Learning and Development,3 credit(s).
HMS 483 - Adapted Physical Education,3 credit(s).
HMS 485 - Measurement and Statistics in Exercise Science,3 credit(s).
HMS 488 - Exercise Testing and Prescription,4 credit(s).
HMS 495 - Physical Education (Secondary School),4 credit(s).
HMS 496 - Sport in American Culture,3 credit(s).
HMS 497 - Exercise and Sport Science Internship,6 credit(s).
HMS 499 - Independent Study,.5 to 3 credit(s).
HON 100 - First-Year leadership Colloquium,1 credit(s).
HON 102 - First Year Research Colloquium,1 credit(s).
HON 150 - Introduction to Critical Inquiry,3 credit(s).
HON 200 - Conceptions of Self and Identity Seminar,2 credit(s).
HON 201 - Conceptions of Self and Identity Plenary Session,1 credit(s).
HON 202 - Conceptions of Community and Context Seminar,2 credit(s).
HON 203 - Conceptions of Community and Context Plenary Session,1 credit(s).
HON 210 - The Idea of Self: The Ancient World,3 credit(s).
HON 250 - The City in Western Civilization.,3 credit(s).
HON 254 - Utopias and Dystopias,3 credit(s).
HON 255 - Ambiguity and Uncertainty in the Arts and,3 credit(s).
HON 270 - Scientific Investigation and Civic Engagement,3 credit(s).
HON 290 - The Language of Art,3 credit(s).
HON 300 - Introduction to Service Learning,3 credit(s).
HON 350 - Research Seminar,3 credit(s).
HON 398 - Special Topics in Honors,3 credit(s).
HON 400 - Research Colloquium,1 credit(s).
HON 450 - International Study Foundations,3 credit(s).
HON 460 - Community-Engaged Research I,3 credit(s).
HON 461 - Community-Engaged Research II,3 credit(s).
HON 494 - Honors Prospectus,3 credit(s).
HON 495 - Honors Thesis,3 credit(s).
HON 498 - Special Topics in Honors,3 credit(s).
HON 499 - Independent Study,.5 to 3 credit(s).
HSC 200 - Health Professions and Medical Terminology,3 credit(s).
HSC 411 - Pathophysiology and Pharmacology,3 credit(s).
HSC 421 - Interprofessional Healthcare Practice,3 credit(s).
HSC 450 - Principles of Medical Documentation,3 credit(s).
IDS 311 - Research Methods in Interdisciplinary Studies,3 credit(s).
IDS 320 - Human Flourishing in the 21st Century,3 credit(s).
IDS 321 - Career Pathways in Interdisciplinary Studies,1 credit(s).
IDS 401 - Interdisciplinary Investigations of Globalization,3 credit(s).
IDS 405 - In a World: A Gamified Capstone Experience,3 credit(s).
IDS 499 - Independent Study,1 to 3 credit(s).
ILS 300 - Literature for Children,3 credit(s).
ILS 302 - Library - Information Service,3 credit(s).
ILS 320 - Technical Services,3 credit(s).
ILS 330 - User Services,3 credit(s).
ILS 360 - Data Literacy and Presentation,3 credit(s).
ILS 400 - Library - Information Service Practice,3 credit(s).
ILS 421 - Organization of the Information Center,3 credit(s).
ILS 425 - Library - Information Sources,3 credit(s).
ILS 440 - Information Service Technology,3 credit(s).
INQ 101 - Intellectual and Creative Inquiry,3 credit(s).
INQ 120 - The RISE Workshop,1 credit(s).
INQ 390 - Peer Mentoring in the First-Year Classroom,3 credit(s).
INQ 391 - Peer Mentoring Practicum,3 credit(s).
ITA 100 - Italian I,3 credit(s).
ITA 101 - Italian II,3 credit(s).
ITA 200 - Italian III,3 credit(s).
ITA 202 - Italian Language and Culture for Pleasure,3 credit(s).
ITA 204 - Made in Italy: Italian Language and Culture for a GlobalSociety,3 credit(s).
ITA 206 - Italian Culture in Italy,3 credit(s).
ITA 220 - Italian Food Culture in Italy and America,3 credit(s).
ITA 250 - Italians in America,3 credit(s).
ITA 270 - Italian Cities,3 credit(s).
ITA 400 - Italian Literature I,3 credit(s).
ITA 484 - Italian Theater,3 credit(s).
ITA 487 - Short Story,3 credit(s).
ITA 490 - The Modern Novel,3 credit(s).
ITA 498 - Special Topics in Italian,3 credit(s).
ITA 499 - Directed Reading,1 to 3 credit(s).
JRN 101 - The Media: Freedom and Power,3 credit(s).
JRN 135 - Digital Media Skills,3 credit(s).
JRN 170 - Basic Drone Technology,3 credit(s).
JRN 200 - Basics of Journalism,3 credit(s).
JRN 211 - Broadcast Sports Journalism,3 credit(s).
JRN 220 - Digital Reporting and Writing,3 credit(s).
JRN 226 - Sports Multimedia Reporting,3 credit(s).
JRN 227 - Audio and Video Storytelling,3 credit(s).
JRN 228 - Big Data Storytelling,3 credit(s).
JRN 230 - Fundamentals of Public Relations,3 credit(s).
JRN 240 - Race and the News,3 credit(s).
JRN 260 - Anthropology of Media,3 credit(s).
JRN 270 - Photojournalism and Drones,3 credit(s).
JRN 300 - News Writing,3 credit(s).
JRN 301 - The News Media in America,3 credit(s).
JRN 303 - Great Journalism,3 credit(s).
JRN 304 - Sports Reporting,3 credit(s).
JRN 305 - Precision Editing,3 credit(s).
JRN 306 - Digital News Design,3 credit(s).
JRN 311 - Broadcast News Reporting I,3 credit(s).
JRN 320 - Writing Magazine Articles I,3 credit(s).
JRN 330 - Advanced Integrated Public Relations,3 credit(s).
JRN 350 - American Journalism History,3 credit(s).
JRN 351 - Media Law and Ethics,3 credit(s).
JRN 370 - Drone Video Storytelling,3 credit(s).
JRN 410 - Broadcast News Reporting II,3 credit(s).
JRN 470 - Advanced Drone Storytelling,3 credit(s).
JRN 490 - Capstone Seminar in Journalism,3 credit(s).
JRN 497 - Journalism Internship,1 to 9 credit(s).
JST 101 - Jewish Life and Civilization,3 credit(s).
JST 110 - Narrating the Israeli-Palestinian Conflict,3 credit(s).
JST 118 - Making a More Just America: Judaic Texts and Teachings,3 credit(s).
JST 200 - Jewish Stories,3 credit(s).
JST 204 - Introduction to Holocaust and Genocide Studies,3 credit(s).
JST 207 - The Religious Dimension of Human Existence,3 credit(s).
JST 235 - The Holocaust,3 credit(s).
JST 237 - Modern Germany,3 credit(s).
JST 300 - Literature of the Hebrew Bible,3 credit(s).
JST 303 - The Israeli Short Story,3 credit(s).
JST 305 - Antisemitism,3 credit(s).
JST 336 - Nazi Germany,3 credit(s).
LAC 100 - Introduction to Latin American and Caribbean Studies,3 credit(s).
LAC 128 - Latin American History,3 credit(s).
LAT 101 - Latin II,3 credit(s).
LAT 200 - Latin III,3 credit(s).
LAT 499 - Independent Study,3 credit(s).
LIT 300 - Hebrew Bible as Literature,3 credit(s).
LIT 302 - Literature of the New Testament,3 credit(s).
LIT 310 - Mythology,3 credit(s).
LIT 328 - Literature of Medieval Europe,3 credit(s).
LIT 332 - Digital Literary Studies,3 credit(s).
LIT 352 - European Novel and Short Story 1900-1945,3 credit(s).
LIT 370 - Contemporary French Novel,3 credit(s).
LIT 371 - Voices of the Francophone Caribbean,3 credit(s).
LIT 376 - Italian Cinema,3 credit(s).
LIT 382 - Contemporary Latin American Literature,3 credit(s).
LIT 406 - Classical Drama,3 credit(s).
LIT 430 - Modern World Drama: Ibsen to O’Neill,3 credit(s).
LIT 431 - Contemporary Drama: Brecht to the Present,3 credit(s).
LIT 488 - Seminar in World Literature,3 credit(s).
LIT 499 - Independent Study,3 credit(s).
MAR 140 - The World Ocean,3 credit(s).
MAR 210 - Coastal Marine Studies,4 credit(s).
MAR 250 - Coastal and Marine Pollution,3 credit(s).
MAR 270 - Aquaculture I,4 credit(s).
MAR 280 - Aquaculture II,4 credit(s).
MAR 340 - Coastal Processes and Environments,3 credit(s).
MAR 398 - Special Topics in Marine Studies,3 credit(s).
MAR 460 - Field and Laboratory Techniques in Marine Studies,4 credit(s).
MAR 499 - Independent Study and Research,1 to 3 credit(s).
MAT 095 - Introductory and Intermediate Algebra Support,0 credit(s).
MAT 100 - Intermediate Algebra,3 credit(s).
MAT 100P - Introductory and Intermediate Algebra,3 credit(s).
MAT 103 - Mathematics for Liberal Arts,3 credit(s).
MAT 104 - Mathematics All Around Us,3 credit(s).
MAT 105 - Mathematics for Elementary Education I,3 credit(s).
MAT 106 - Mathematics for Elementary Education II,3 credit(s).
MAT 107 - Elementary Statistics,3 credit(s).
MAT 108 - Mathematics for the Natural Sciences,3 credit(s).
MAT 111 - Extended Algebra for Business and Science,4 credit(s).
MAT 112 - Algebra for Business and the Sciences,3 credit(s).
MAT 115 - Introduction to Modern Mathematics,3 credit(s).
MAT 120 - College Algebra,3 credit(s).
MAT 122 - Precalculus,4 credit(s).
MAT 125 - Applied Business Mathematics,3 credit(s).
MAT 140 - Computational Tools for Mathematics and the Sciences,3 credit(s).
MAT 150 - Calculus I,4 credit(s).
MAT 151 - Calculus II,4 credit(s).
MAT 178 - Elementary Discrete Mathematics,3 credit(s).
MAT 207 - Mathematics for Elementary Education III,3 credit(s).
MAT 210 - Analysis of Election Structures,3 credit(s).
MAT 221 - Intermediate Applied Statistics,4 credit(s).
MAT 245 - Differential Equations,3 credit(s).
MAT 250 - Foundations of Mathematics,4 credit(s).
MAT 252 - Calculus III,4 credit(s).
MAT 260 - Geometry and the Arts,3 credit(s).
MAT 300 - History of Mathematics,3 credit(s).
MAT 320 - Mathematical Statistics I,3 credit(s).
MAT 321 - Mathematical Statistics II,3 credit(s).
MAT 322 - Numerical Analysis I,4 credit(s).
MAT 326 - Regression Analysis,3 credit(s).
MAT 328 - Time Series Analysis,3 credit(s).
MAT 329 - Bayesian Analysis and Decision Making,3 credit(s).
MAT 360 - Foundations of Geometry,3 credit(s).
MAT 372 - Linear Algebra,3 credit(s).
MAT 373 - Modern Algebra,4 credit(s).
MAT 375 - Abstract Algebra I,3 credit(s).
MAT 378 - Discrete Mathematics,3 credit(s).
MAT 405 - Elementary Mathematics from an Advanced Standpoint,3 credit(s).
MAT 408 - Technology for Teaching Secondary Mathematics,3 credit(s).
MAT 428 - Mathematical Foundations in Machine Learning,3 credit(s).
MAT 429 - Modern Nonparametric Statistics,3 credit(s).
MAT 450 - Analysis,3 credit(s).
MAT 480 - Topology,3 credit(s).
MAT 488 - Seminar in Mathematical Modeling,3 credit(s).
MAT 490 - Teaching Mathematics in the Secondary School,3 credit(s).
MAT 491 - Mathematics Capstone I,1 credit(s).
MAT 492 - Mathematics Capstone II,3 credit(s).
MAT 494 - Student Teaching — Mathematics,9 credit(s).
MAT 496 - Student Teaching Seminar,3 credit(s).
MAT 497 - Internship,1 to 6 credit(s).
MAT 499 - Independent Study,1 to 4 credit(s).
MGT 100 - Introduction to Business,3 credit(s).
MGT 200 - Managerial Communication,3 credit(s).
MGT 202 - Introduction to Conscious Capitalism,3 credit(s).
MGT 240 - Business Law and Ethics,3 credit(s).
MGT 285 - Management and Organization,3 credit(s).
MGT 301 - Entrepreneurship and Small Business Development,3 credit(s).
MGT 305 - Organizational Behavior,3 credit(s).
MGT 306 - Ocean and Blue Innovations,3 credit(s).
"MGT 315 - Gender, Leadership & Management",3 credit(s).
MGT 335 - Business Law,3 credit(s).
MGT 345 - Real Estate Law,3 credit(s).
MGT 361 - Operations Management,3 credit(s).
MGT 385 - Human Resources Management,3 credit(s).
MGT 390 - Intellectual Property Law,3 credit(s).
MGT 395 - Technology Entrepreneurship,3 credit(s).
MGT 400 - Business and Society,3 credit(s).
MGT 402 - Managing Diversity,3 credit(s).
MGT 405 - Employment & Labor Relations Law,3 credit(s).
MGT 415 - Developing Team Managerial Skills,3 credit(s).
"MGT 425 - Managing for People, Planet, and Profit",3 credit(s).
MGT 430 - Management of Multinational Corporations,3 credit(s).
MGT 440 - Mindful Leadership,3 credit(s).
MGT 450 - Business Policy and Strategy Seminar,3 credit(s).
MGT 460 - International Business,3 credit(s).
MGT 473 - Employee Training and Development,3 credit(s).
MGT 474 - Compensation and Benefit Management,3 credit(s).
MGT 476 - Strategic Staffing,3 credit(s).
MGT 497 - Internship,3 credit(s).
MGT 499 - Independent Study,1 to 3 credit(s).
"MKT 100 - Consumption, Markets, and Culture",3 credit(s).
MKT 200 - Principles of Marketing,3 credit(s).
MKT 201 - Introduction to Market Data Analytics,3 credit(s).
MKT 297 - Women's Leadership Seminar,1 credit(s).
MKT 298 - Special Topics in Marketing,1 to 3 credit(s).
MKT 301 - Quantitative Research in Marketing,3 credit(s).
MKT 321 - Consumer Behavior,3 credit(s).
MKT 326 - Pricing Strategies,3 credit(s).
MKT 327 - Marketing Management,3 credit(s).
MKT 330 - Retail Management,3 credit(s).
MKT 331 - Principles of Advertising,3 credit(s).
MKT 332 - Marketing Communication,3 credit(s).
MKT 334 - Professional Selling,3 credit(s).
MKT 335 - Business to Business Marketing,3 credit(s).
MKT 336 - Sales Management,3 credit(s).
MKT 338 - Services Marketing,3 credit(s).
MKT 341 - Digital Marketing,3 credit(s).
MKT 342 - Social Media Marketing,3 credit(s).
MKT 343 - Digital Marketing Analytics,3 credit(s).
MKT 344 - Tourism Destination Marketing,3 credit(s).
MKT 345 - Brand Strategy in Marketing,3 credit(s).
MKT 351 - Communication Strategies in UtilityLeadership,1.5 credit(s).
MKT 352 - Customer Services in Utility Leadership,1.5 credit(s).
MKT 398 - Special Topics in Marketing,3 credit(s).
MKT 410 - Product and Marketing Planning,3 credit(s).
MKT 420 - Global Marketing,3 credit(s).
MKT 425 - Marketing Research,3 credit(s).
MKT 450 - Strategic Marketing,3 credit(s).
MKT 497 - Internship,1 to 3 credit(s).
MKT 499 - Independent Study,1 to 3 credit(s).
MUS 102 - University Choir,1 credit(s).
MUS 104 - University Band I,1 credit(s).
MUS 105 - University Band II,1 credit(s).
MUS 110 - Music History of the Western World,3 credit(s).
MUS 111 - Experiencing the Arts,3 credit(s).
MUS 115 - Music in World Culture,3 credit(s).
MUS 117 - Introduction to Music Technology,3 credit(s).
MUS 141 - Applied Music,.5 credit(s).
MUS 142 - Applied Music,.5 credit(s).
MUS 171 - Chamber Singers,1 credit(s).
MUS 200 - Small Ensembles,1 credit(s).
MUS 201 - Small Ensembles,1 credit(s).
MUS 202 - Small Ensembles,1 credit(s).
MUS 203 - Small Ensembles,1 credit(s).
MUS 204 - Small Ensembles,1 credit(s).
MUS 205 - Small Ensembles,1 credit(s).
MUS 206 - Small Ensembles,1 credit(s).
MUS 207 - Small Ensembles,1 credit(s).
MUS 210 - Music History I,3 credit(s).
MUS 211 - Music History II,3 credit(s).
MUS 220 - Musicianship I,2 credit(s).
MUS 221 - Musicianship II,2 credit(s).
MUS 225 - Music Theory I,3 credit(s).
MUS 226 - Music Theory II,3 credit(s).
MUS 230 - Introduction to Musical Improvisation,3 credit(s).
MUS 235 - Guitar I,3 credit(s).
MUS 237 - Fundamentals of Piano I,3 credit(s).
MUS 241 - Applied Music,.5 credit(s).
MUS 242 - Applied Music,.5 credit(s).
MUS 300 - Beethoven and Revolution,3 credit(s).
MUS 301 - American Music,3 credit(s).
MUS 303 - In Search of Mozart,3 credit(s).
MUS 311 - Jazz History,3 credit(s).
MUS 320 - Musicianship III,2 credit(s).
MUS 321 - Musicianship IV,2 credit(s).
MUS 325 - Music Theory III,3 credit(s).
MUS 326 - Music Theory IV,3 credit(s).
MUS 330 - Improvisation in Contemporary Music Culture,3 credit(s).
MUS 341 - Applied Music,.5 credit(s).
MUS 342 - Applied Music,.5 credit(s).
MUS 398 - Special Topics in Music,3 credit(s).
MUS 400 - Solo or Chamber Recital,1 credit(s).
MUS 420 - Improvisation I,2 credit(s).
MUS 421 - Improvisation II,2 credit(s).
MUS 426 - Arranging,2 credit(s).
MUS 428 - Electronic Music,3 credit(s).
MUS 429 - Producing Music for Visual Media,3 credit(s).
"MUS 430 - Advanced Audio Recording, Editing, and Sound Manipulation",3 credit(s).
MUS 441 - Applied Music,.5 credit(s).
MUS 442 - Applied Music,.5 credit(s).
MUS 465 - Entrepreneurship for Musicians,3 credit(s).
MUS 490 - Music Technology in the Classroom,3 credit(s).
MUS 499 - Independent Study,1 to 3 credit(s).
MUT 100 - Introduction to Music Therapy,3 credit(s).
MUT 200 - Receptive Methods in Music Therapy,2 credit(s).
MUT 250 - Compositional Methods in Music Therapy,2 credit(s).
MUT 300 - Clinical Improvisation in Music Therapy,2 credit(s).
