Undergrad_Course_Title,Credit
ART 451 - Photography Portfolio Development,3 credit(s).
ART 460 - Experimental Printmaking,3 credit(s).
ART 461 - Innovative Printmaking,3 credit(s).
ART 480 - Advanced Art Problems I,1 to 6 credit(s).
ART 481 - Advanced Art Problems II,1 to 6 credit(s).
ART 493 - Studio Art Capstone,3 credit(s).
ART 496 - Freelance Design - Building a Practice,3 credit(s).
ART 497 - Design Practicum,1 to 6 credit(s).
ART 499 - Independent Study,1 to 6 credit(s).
"AST 100 - Stars, Planets, and Galaxies",3 credit(s).
AST 310 - Stellar and Galactic Astrophysics,3 credit(s).
AST 340 - Observational Astronomy,3 credit(s).
BIO 100 - General Zoology,3 credit(s).
BIO 101 - General Botany,3 credit(s).
BIO 102 - Biology I,4 credit(s).
BIO 103 - Biology II,4 credit(s).
BIO 120 - Microbiology,4 credit(s).
BIO 200 - Human Anatomy and Physiology I,4 credit(s).
BIO 201 - Human Anatomy and Physiology II,4 credit(s).
BIO 202 - Ecology,4 credit(s).
BIO 210 - Marine and Environmental Biology,4 credit(s).
BIO 215 - Animal Behavior,3 credit(s).
BIO 220 - Genetics,4 credit(s).
BIO 228 - Vertebrate Zoology,4 credit(s).
BIO 231 - Comparative Vertebrate Anatomy,4 credit(s).
BIO 233 - Introductory Microbiology,4 credit(s).
BIO 236 - Cell Biology,4 credit(s).
BIO 240 - Human Heredity,3 credit(s).
BIO 280 - Conservation Biology,4 credit(s).
BIO 292 - Biology of Aging,3 credit(s).
BIO 296 - Genomics I,4 credit(s).
BIO 298 - Special Topics in Biology,3 to 4 credit(s).
BIO 301 - Physiology,4 credit(s).
BIO 325 - Immunology and Infection,3 credit(s).
BIO 327 - Field Natural History,3 credit(s).
BIO 335 - Pathogenic Microbiology,4 credit(s).
BIO 337 - Medically Important Arthropods,3 credit(s).
BIO 351 - Histology,4 credit(s).
BIO 386 - Practical Bioinformatics: Genomics II,4 credit(s).
BIO 390 - Biology Research Training,3 credit(s).
BIO 391 - Biology Research Seminar,1 credit(s).
