Course_Code,CRN,Source_DB
CHEM 2445,crn:3520,1253
CHEM 2446,crn:3507,1253
CHEM 3189,crn:13065,1253
CHEM 3195,crn:13053,1253
CHEM 3195,crn:3540,1253
CHEM 3199,crn:13121,1253
CHEM 3214,crn:3494,1253
CHEM 3215,crn:3495,1253
CHEM 3332,crn:3503,1253
CHEM 3334,crn:3502,1253
CHEM 3564,crn:3536,1253
CHEM 3565W,crn:3537,1253
CHEM 3661,crn:3556,1253
CHEM 4196W,crn:13122,1253
CHIN 1111,crn:6692,1253
CHIN 1112,crn:6693,1253
CHIN 1113,crn:6695,1253
CHIN 1114,crn:6696,1253
CHIN 1121,crn:6697,1253
CHIN 1122,crn:6698,1253
CHIN 3211,crn:6713,1253
CHIN 3230,crn:6714,1253
CHIN 3250W,crn:6716,1253
CHIN 3282,crn:9696,1253
CHIN 3295,crn:13883,1253
CHIN 3299,crn:13657,1253
CLCS 1102,crn:6659,1253
CLCS 1110,crn:6701,1253
CLCS 2201,crn:6706,1253
CLCS 2204,crn:6734,1253
COGS 2201,crn:7176,1253
COGS 2345,crn:7350,1253
COGS 3584,crn:7177,1253
COGS 3589,crn:13965,1253
COGS 3599,crn:7236,1253
COGS 4596W,crn:7293,1253
COMM 1000,crn:8051,1253
COMM 1100,crn:8080,1253
COMM 2000Q,crn:8112,1253
COMM 2010Q,crn:8187,1253
COMM 2100,crn:8173,1253
COMM 2110,crn:8178,1253
COMM 2200,crn:8102,1253
COMM 2300,crn:8113,1253
COMM 2500,crn:8104,1253
COMM 2600,crn:8100,1253
COMM 2700,crn:8171,1253
COMM 3110,crn:8109,1253
COMM 3210,crn:8111,1253
COMM 3222W,crn:8175,1253
COMM 3240,crn:8103,1253
COMM 3310W,crn:8164,1253
COMM 3320,crn:9892,1253
COMM 3321,crn:8163,1253
COMM 3410,crn:8185,1253
COMM 3420,crn:12517,1253
COMM 3420W,crn:8184,1253
COMM 3430W,crn:8183,1253
COMM 3520,crn:8190,1253
COMM 3530,crn:8108,1253
COMM 3600,crn:8116,1253
COMM 3600W,crn:8182,1253
COMM 3610,crn:8168,1253
COMM 3610W,crn:8167,1253
COMM 4530W,crn:12293,1253
COMM 4540,crn:12368,1253
COMM 4640,crn:8176,1253
COMM 4799,crn:8179,1253
COMM 4979,crn:8180,1253
COMM 4981,crn:8107,1253
COMM 4982,crn:8106,1253
COMM 4997W,crn:8117,1253
COMM 4999,crn:14768,1253
CSE 1010,crn:6057,1253
CSE 2050,crn:5983,1253
CSE 2102,crn:5868,1253
CSE 2301,crn:6030,1253
CSE 2500,crn:5795,1253
CSE 2600,crn:6055,1253
CSE 3000,crn:5904,1253
CSE 3100,crn:5944,1253
CSE 3140,crn:6022,1253
CSE 3150,crn:6007,1253
CSE 3160,crn:6047,1253
